Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.03,0.0,1.69,15.48,0.11,TE
Mo Alie-Cox,IND,1.0,0.04,0.0,0.6,7.73,0.06,TE
Dwayne Allen,NE,1.0,0.1,0.0,1.0,9.59,0.04,TE
Mark Andrews,BAL,1.0,0.04,0.0,1.7,21.31,0.15,TE
Dan Arnold,NO,1.0,0.05,0.0,0.28,2.86,0.02,TE
Antony Auclair,TB,1.0,0.03,0.0,0.46,3.79,0.03,TE
Blake Bell,JAX,1.0,0.02,0.0,0.43,3.59,0.04,TE
Nick Boyle,BAL,1.0,0.06,0.0,2.09,19.33,0.1,TE
Cameron Brate,TB,1.0,0.03,0.0,1.27,16.71,0.11,TE
Ben Braunecker,CHI,1.0,0.02,0.0,0.19,2.57,0.02,TE
Daniel Brown,CHI,1.0,0.02,0.0,0.21,3.15,0.03,TE
Trey Burton,CHI,1.0,0.31,0.0,2.61,32.35,0.28,TE
Garrett Celek,SF,1.0,0.03,0.0,0.64,7.61,0.07,TE
Orson Charles,CLE,1.0,0.02,0.0,0.22,2.0,0.02,TE
Charles Clay,BUF,1.0,0.15,0.0,3.5,35.08,0.2,TE
Tyler Conklin,MIN,1.0,0.03,0.0,0.18,2.09,0.02,TE
Jason Croom,BUF,1.0,0.03,0.0,0.8,9.29,0.06,TE
Alan Cross,TB,1.0,0.03,0.0,0.12,2.05,0.02,TE
Sean Culkin,LAC,1.0,0.03,0.0,0.12,1.31,0.02,TE
Vernon Davis,WAS,1.0,0.11,0.0,2.14,28.81,0.17,TE
Seth DeValve,CLE,1.0,0.02,0.0,0.3,4.28,0.03,TE
Garrett Dickerson,NYG,1.0,0.03,0.0,0.15,1.39,0.02,TE
Ross Dwelley,SF,1.0,0.03,0.0,0.18,2.6,0.03,TE
Eric Ebron,IND,1.0,0.75,0.0,5.99,65.56,0.5,TE
Rhett Ellison,NYG,1.0,0.09,0.0,1.57,15.12,0.1,TE
Evan Engram,NYG,1.0,0.09,0.0,4.7,44.41,0.29,TE
Zach Ertz,PHI,1.0,0.07,0.0,6.52,71.39,0.45,TE
Gerald Everett,LA,1.0,0.08,0.0,1.51,15.01,0.11,TE
Darren Fells,CLE,1.0,0.02,0.0,0.82,6.83,0.06,TE
Anthony Firkser,TEN,1.0,0.05,0.0,0.56,5.54,0.03,TE
Antonio Gates,LAC,1.0,0.02,0.0,2.29,26.47,0.13,TE
Rico Gathers,DAL,1.0,0.04,0.0,0.62,7.49,0.06,TE
Mike Gesicki,MIA,1.0,0.03,0.0,1.16,13.49,0.09,TE
Dallas Goedert,PHI,1.0,0.12,0.0,1.93,20.98,0.11,TE
Virgil Green,LAC,1.0,0.11,0.0,1.43,15.95,0.1,TE
Jermaine Gresham,ARI,1.0,0.04,0.0,1.1,11.64,0.07,TE
David Grinnage,,1.0,0.07,0.0,1.95,21.32,0.13,TE
Clark Harris,CIN,1.0,0.03,0.0,0.04,0.68,0.01,TE
Demetrius Harris,KC,1.0,0.02,0.0,1.23,14.27,0.07,TE
Chris Herndon,NYJ,1.0,0.09,0.0,1.38,17.11,0.12,TE
Jeff Heuerman,DEN,1.0,0.07,0.0,2.59,24.93,0.16,TE
Ryan Hewitt,IND,1.0,0.02,0.0,0.28,1.81,0.02,TE
Tyler Higbee,LA,1.0,0.06,0.0,1.44,16.64,0.12,TE
Josh Hill,NO,1.0,0.2,0.0,1.52,17.33,0.12,TE
Gabe Holmes,ARI,1.0,0.02,0.0,0.16,2.07,0.03,TE
Austin Hooper,ATL,1.0,0.08,0.0,5.25,50.77,0.26,TE
O.J. Howard,TB,1.0,0.14,0.0,2.62,41.93,0.32,TE
Hayden Hurst,BAL,1.0,1.03,0.01,0.81,9.56,0.07,TE
Blake Jarwin,DAL,1.0,0.03,0.0,0.61,5.69,0.04,TE
Travis Kelce,KC,1.0,0.12,0.0,6.37,80.62,0.53,TE
George Kittle,SF,1.0,0.14,0.0,5.2,62.41,0.35,TE
Matt LaCosse,DEN,1.0,0.03,0.0,1.06,10.22,0.06,TE
Jordan Leggett,NYJ,1.0,0.03,0.0,0.52,6.96,0.05,TE
Matt Lengel,CIN,1.0,0.03,0.0,0.08,1.01,0.01,TE
Chris Manhertz,CAR,1.0,0.02,0.0,0.52,2.85,0.02,TE
David Morgan,MIN,1.0,0.05,0.0,0.48,5.35,0.03,TE
Johnny Mundt,LA,1.0,0.03,0.0,0.14,1.89,0.02,TE
David Njoku,CLE,1.0,0.07,0.0,4.78,46.65,0.28,TE
Nick O'Leary,MIA,1.0,0.04,0.0,1.56,20.61,0.17,TE
Greg Olsen,CAR,1.0,0.05,0.0,4.39,53.4,0.3,TE
Brian Parker,DEN,1.0,0.03,0.0,0.2,1.97,0.02,TE
Logan Paulsen,ATL,1.0,0.05,0.0,0.35,3.52,0.03,TE
Josh Perkins,PHI,1.0,0.03,0.0,0.42,6.09,0.04,TE
MyCole Pruitt,TEN,1.0,0.03,0.0,0.07,0.62,0.01,TE
Jordan Reed,WAS,1.0,0.07,0.0,4.02,41.36,0.31,TE
Michael Roberts,DET,1.0,0.03,0.0,0.4,2.56,0.03,TE
Kyle Rudolph,MIN,1.0,0.05,0.0,3.93,40.86,0.27,TE
Eric Saubert,ATL,1.0,0.03,0.0,0.18,2.84,0.03,TE
Mason Schreck,CIN,1.0,0.04,0.0,0.53,4.33,0.03,TE
Ricky Seals-Jones,ARI,1.0,0.02,0.0,2.33,31.64,0.21,TE
Scott Simonson,NYG,1.0,0.02,0.0,0.39,3.82,0.04,TE
Dion Sims,CHI,1.0,0.02,0.0,0.53,5.81,0.04,TE
Jonnu Smith,TEN,1.0,0.06,0.0,1.4,13.26,0.08,TE
Durham Smythe,MIA,1.0,0.02,0.0,0.13,2.92,0.03,TE
Jeremy Sprinkle,WAS,1.0,0.03,0.0,0.08,1.17,0.02,TE
Neal Sterling,NYJ,1.0,0.1,0.0,1.8,20.47,0.11,TE
Luke Stocker,TEN,1.0,0.06,0.0,0.6,6.84,0.04,TE
Geoff Swaim,DAL,1.0,0.06,0.0,2.34,25.73,0.17,TE
Erik Swoope,IND,1.0,0.03,0.0,0.88,11.33,0.08,TE
Ian Thomas,CAR,1.0,0.03,0.0,0.36,5.35,0.03,TE
Jordan Thomas,HOU,1.0,0.11,0.0,1.36,15.57,0.09,TE
Logan Thomas,BUF,1.0,0.03,0.0,0.79,8.56,0.06,TE
Levine Toilolo,DET,1.0,0.03,0.0,0.91,7.2,0.06,TE
Eric Tomlinson,NYJ,1.0,0.03,0.0,0.37,5.54,0.04,TE
C.J. Uzomah,CIN,1.0,0.07,0.0,2.87,28.81,0.23,TE
Benjamin Watson,NO,1.0,0.1,0.0,3.3,33.37,0.21,TE
Maxx Williams,BAL,1.0,0.6,0.0,1.27,14.21,0.08,TE
Luke Willson,DET,1.0,0.06,0.0,1.47,14.41,0.06,TE
