Player,Team,Bye,Rec,Yard,TD,FPts
Rob Gronkowski,NE,9,77,1121,11,178.1
Jordan Reed,WAS,9,85,1008,7,142.8
Greg Olsen,CAR,7,72,904,7,132.4
Travis Kelce,KC,5,68,836,6,119.6
Delanie Walker,TEN,13,66,805,6,116.5
Antonio Gates,SD,11,68,787,6,114.7
Gary Barnidge,CLE,13,66,778,6,113.8
Coby Fleener,NO,5,65,775,6,113.5
Dwayne Allen,IND,10,64,677,6,103.7
Zach Ertz,PHI,4,61,711,5,101.1
Julius Thomas,JAC,5,57,577,7,99.7
Martellus Bennett,NE,9,50,636,6,99.6
Tyler Eifert,CIN,9,54,655,5,95.5
Jason Witten,DAL,7,69,701,4,94.1
Zach Miller,CHI,9,52,575,6,93.5
Eric Ebron,DET,10,58,609,5,90.9
Charles Clay,BUF,10,57,606,5,90.6
Jared Cook,GB,4,50,565,5,86.5
Will Tye,NYG,8,48,535,4,77.5
Jimmy Graham,SEA,5,45,532,4,77.2
Kyle Rudolph,MIN,6,49,522,4,76.2
Vance McDonald,SF,8,43,485,4,72.5
Clive Walford,OAK,10,40,466,4,70.6
Jordan Cameron,MIA,8,41,455,4,69.5
Jesse James,PIT,8,44,488,3,66.8
Richard Rodgers,GB,4,40,385,4,62.5
Jacob Tamme,ATL,11,43,487,2,60.7
Virgil Green,DEN,11,38,426,3,60.6
Cameron Brate,TB,6,35,419,3,59.9
Crockett Gillmore,BAL,8,30,369,3,54.9
Luke Willson,SEA,5,29,345,2,46.5
Garrett Celek,SF,8,29,326,2,44.6
Hunter Henry,SD,11,29,325,2,44.5
Austin Seferian-Jenkins,TB,6,25,312,2,43.2
Darren Fells,ARI,9,24,287,2,40.7
Brent Celek,PHI,4,26,285,2,40.5
Ryan Griffin,HOU,9,27,267,2,38.7
Larry Donnell,NYG,8,24,256,2,37.6
Lance Kendricks,LAR,8,32,316,1,37.6
C.J. Fiedorowicz,HOU,9,20,226,2,34.6
Maxx Williams,BAL,8,19,224,2,34.4
Anthony Fasano,TEN,13,18,216,2,33.6
Josh Hill,NO,5,27,266,1,32.6
Jeff Heuerman,DEN,11,21,226,1,28.6
Tyler Kroft,CIN,9,21,216,1,27.6
Ladarius Green,PIT,8,19,215,1,27.5
Mychal Rivera,OAK,10,20,215,1,27.5
Niles Paul,WAS,9,26,256,0,25.6
Marcedes Lewis,JAC,5,18,195,1,25.5
Gavin Escobar,DAL,7,18,189,1,24.9
Cole Wick,DET,10,15,155,1,21.5
Tyler Higbee,LAR,8,15,146,1,20.6
Demetrius Harris,KC,5,13,135,1,19.5
Kellen Davis,NYJ,11,12,135,1,19.5
Dennis Pitta,BAL,8,11,131,1,19.1
Jack Doyle,IND,10,11,121,1,18.1
Dion Sims,MIA,8,11,114,1,17.4
Ed Dickson,CAR,7,10,104,1,16.4
Austin Hooper,ATL,11,13,146,0,14.6
Blake Bell,SF,8,11,114,0,11.4
Brandon Bostick,NYJ,11,8,91,0,9.1
Vernon Davis,WAS,9,7,89,0,8.9
Logan Paulsen,CHI,9,7,78,0,7.8
Jerell Adams,NYG,8,7,77,0,7.7
Justin Perillo,GB,4,6,76,0,7.6
Levine Toilolo,ATL,11,7,75,0,7.5
Trey Burton,PHI,4,6,72,0,7.2
Troy Niklas,ARI,9,5,66,0,6.6
Ryan Hewitt,CIN,9,5,56,0,5.6
James O'Shaughnessy,KC,5,5,55,0,5.5
James Hanna,DAL,7,4,46,0,4.6
Nic Jacobs,JAC,5,4,46,0,4.6
Brandon Myers,TB,6,4,46,0,4.6
Brandon Pettigrew,DET,10,4,45,0,4.5
Sean McGrath,SD,11,4,44,0,4.4
Lee Smith,OAK,10,2,27,0,2.7
MyCole Pruitt,MIN,6,2,26,0,2.6
Clay Harbor,NE,9,2,26,0,2.6
Derek Carrier,WAS,9,2,22,0,2.2
Rhett Ellison,MIN,6,1,14,0,1.4
