Player,FG,FGA,FGLg,XP,XPAtt,XPB,FPTS,POS
"Adam Vinatieri, IND",2.3,2.4,0,2.8,2.8,0.0,10,K
"Justin Tucker, BAL",2.3,2.6,0,2.6,2.6,0.0,9,K
"Mason Crosby, GB",2.2,2.5,0,2.9,2.9,0.0,9,K
"Stephen Gostkowski, NE",2.1,2.4,0,3.0,3.0,0.0,9,K
"Chris Boswell, PIT",2.0,2.2,0,2.9,2.9,0.0,9,K
"Brandon McManus, DEN",1.9,2.2,0,2.9,2.9,0.0,8,K
"Blair Walsh, SEA",2.0,2.5,0,2.3,2.3,0.0,8,K
"Sebastian Janikowski, SEA",1.6,2.0,0,2.9,2.9,0.0,8,K
"Graham Gano, CAR",1.7,2.1,0,2.6,2.6,0.0,7,K
"Mike Nugent, OAK",1.8,2.1,0,2.3,2.3,0.0,7,K
"Caleb Sturgis, LAC",1.7,2.0,0,2.5,2.5,0.0,7,K
"Josh Lambo, JAC",1.7,2.0,0,2.2,2.2,0.0,7,K
"Dan Bailey, MIN",1.6,1.8,0,2.1,2.1,0.0,7,K
"Andrew Franks, MIA",1.5,1.9,0,2.2,2.2,0.0,6,K
"Dustin Hopkins, WAS",1.5,1.6,0,1.9,1.9,0.0,6,K
"Nick Folk, TB",1.5,1.7,0,1.9,1.9,0.0,6,K
"Connor Barth, CHI",1.4,1.8,0,2.1,2.1,0.0,6,K
"Matt Prater, DET",1.4,1.5,0,1.9,1.9,0.0,6,K
"Matt Bryant, ATL",1.4,1.6,0,2.0,2.0,0.0,6,K
"Chandler Catanzaro, CAR",1.4,1.6,0,1.9,1.9,0.0,6,K
"Phil Dawson, ARI",1.3,1.6,0,2.0,2.0,0.0,6,K
"Roberto Aguayo, LAC",1.2,1.7,0,1.9,1.9,0.0,5,K
"Ryan Succop, TEN",1.2,1.4,0,1.8,1.8,0.0,5,K
"Greg Zuerlein, LAR",1.2,1.6,0,1.6,1.6,0.0,5,K
"Nick Novak, LAC",1.2,1.5,0,1.5,1.5,0.0,5,K
"Cody Parkey, CHI",0.9,1.3,0,1.2,1.2,0.0,4,K
"Aldrick Rosas, NYG",0.0,0.0,0,0.0,0.0,0.0,0,K
"Randy Bullock, CIN",0.0,0.0,0,0.0,0.0,0.0,0,K
"Jordan Gay, TEN",0.0,0.0,0,0.0,0.0,0.0,0,K
