Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Todd Gurley,RB,LAR,96.2,1.3,4.3,42.5,0.3
Saquon Barkley,RB,NYG,70.6,0.4,6.2,49.7,0.4
James Conner,RB,PIT,74.0,0.9,4.3,32.8,0.1
Joe Mixon,RB,CIN,72.3,0.8,3.9,30.0,0.1
Alvin Kamara,RB,NO,48.8,0.6,5.8,55.1,0.2
David Johnson,RB,ARI,64.3,0.7,3.5,31.4,0.1
James White,RB,NE,40.1,0.2,5.6,45.2,0.5
Phillip Lindsay,RB,DEN,70.9,0.5,2.9,22.7,0.1
Marlon Mack,RB,IND,63.4,0.5,2.2,20.3,0.1
Adrian Peterson,RB,WAS,66.5,0.5,1.8,18.1,0.0
Christian McCaffrey,RB,CAR,54.1,0.2,5.2,40.8,0.2
Nick Chubb,RB,CLE,68.9,0.6,1.4,9.3,0.0
Tarik Cohen,RB,CHI,29.8,0.2,5.3,47.2,0.4
Lamar Miller,RB,HOU,68.2,0.3,2.2,17.6,0.1
Latavius Murray,RB,MIN,58.4,0.5,2.1,15.2,0.0
Jordan Howard,RB,CHI,56.3,0.5,1.5,12.1,0.0
Chris Carson,RB,SEA,63.0,0.3,1.6,15.2,0.1
T.J. Yeldon,RB,JAX,34.0,0.3,3.9,31.2,0.1
LeSean McCoy,RB,BUF,52.7,0.2,2.8,22.3,0.1
Doug Martin,RB,OAK,50.2,0.5,1.3,9.2,0.0
Mark Ingram,RB,NO,44.0,0.3,2.4,18.1,0.1
Chris Thompson,RB,WAS,24.2,0.1,4.4,38.7,0.2
Kenyan Drake,RB,MIA,35.8,0.2,3.9,29.0,0.1
Corey Clement,RB,PHI,38.1,0.2,2.3,20.1,0.1
Jalen Richard,RB,OAK,22.5,0.1,4.6,35.6,0.1
Peyton Barber,RB,TB,43.7,0.2,1.4,12.0,0.0
Kenjon Barner,RB,CAR,44.7,0.3,0.8,5.8,0.0
Carlos Hyde,RB,JAX,43.7,0.2,1.6,11.2,0.0
Wendell Smallwood,RB,PHI,36.7,0.1,2.3,18.7,0.1
Devontae Booker,RB,DEN,28.5,0.2,2.7,24.5,0.1
Duke Johnson,RB,CLE,21.5,0.1,3.5,33.7,0.1
Nyheim Hines,RB,IND,20.5,0.1,2.8,22.5,0.1
Chris Ivory,RB,BUF,32.4,0.2,1.5,14.2,0.0
Javorius Allen,RB,BAL,21.9,0.1,3.0,22.3,0.1
Trenton Cannon,RB,NYJ,22.9,0.1,2.8,23.7,0.1
Mike Davis,RB,SEA,26.7,0.2,1.5,11.8,0.0
LeGarrette Blount,RB,DET,29.7,0.2,0.6,4.0,0.0
Ty Montgomery,RB,BAL,14.4,0.1,2.5,21.4,0.1
Alfred Blue,RB,HOU,26.7,0.2,1.1,8.9,0.0
Jamaal Williams,RB,GB,25.0,0.1,1.1,8.7,0.0
Alfred Morris,RB,SF,24.1,0.2,0.6,4.7,0.0
Ronald Jones,RB,TB,22.8,0.1,1.0,7.0,0.0
Spencer Ware,RB,KC,15.7,0.1,1.1,9.2,0.0
Kyle Juszczyk,RB,SF,1.2,0.0,2.4,22.2,0.1
C.J. Anderson,RB,LAR,14.8,0.1,0.6,4.2,0.0
Wayne Gallman,RB,NYG,12.1,0.1,1.3,8.4,0.0
Rashaad Penny,RB,SEA,14.5,0.1,0.6,5.6,0.0
Mark Walton,RB,CIN,10.6,0.1,0.9,7.7,0.0
Chase Edmonds,RB,ARI,11.8,0.1,0.9,7.1,0.0
Josh Adams,RB,PHI,13.5,0.1,0.5,3.7,0.0
Jordan Wilkins,RB,IND,13.8,0.1,0.4,2.9,0.0
DeAndre Washington,RB,OAK,9.8,0.1,0.8,5.5,0.0
Ameer Abdullah,RB,MIN,4.3,0.0,1.3,9.8,0.1
Mike Boone,RB,MIN,8.7,0.1,0.6,4.7,0.0
Tyler Ervin,RB,BAL,1.5,0.0,1.5,13.4,0.1
Gus Edwards,RB,BAL,9.6,0.1,0.4,2.7,0.0
Stevan Ridley,RB,PIT,8.7,0.1,0.5,3.3,0.0
Kapri Bibbs,RB,GB,6.6,0.1,0.4,4.0,0.0
Roc Thomas,RB,MIN,5.7,0.0,0.5,4.2,0.0
Jacquizz Rodgers,RB,TB,6.2,0.0,0.6,4.5,0.0
C.J. Ham,RB,MIN,1.2,0.0,0.9,7.4,0.0
Anthony Sherman,RB,KC,0.4,0.0,0.5,5.1,0.1
De'Angelo Henderson Sr.,RB,NYJ,3.0,0.0,0.4,2.8,0.0
Andy Janovich,RB,DEN,1.6,0.0,0.3,2.6,0.0
Kalen Ballage,RB,MIA,2.3,0.0,0.2,1.6,0.0
Benny Cunningham,RB,CHI,1.8,0.0,0.2,1.4,0.0
Roosevelt Nix,RB,PIT,0.6,0.0,0.3,2.8,0.0
James Develin,RB,NE,0.0,0.0,0.6,3.5,0.0
David Williams,RB,JAX,0.9,0.0,0.4,2.1,0.0
Dwayne Washington,RB,NO,2.2,0.0,0.2,0.9,0.0
Dontrell Hilliard,RB,CLE,1.1,0.0,0.1,1.3,0.0
Patrick DiMarco,RB,BUF,0.3,0.0,0.3,2.1,0.0
Zach Line,RB,NO,0.3,0.0,0.3,2.3,0.0
Brandon Bolden,RB,MIA,0.9,0.0,0.1,1.1,0.0
Alex Armah,RB,CAR,1.7,0.0,0.1,0.5,0.0
Keith Smith,RB,OAK,0.9,0.0,0.3,1.8,0.0
Tre Madden,RB,SEA,1.1,0.0,0.1,1.0,0.0
Elijhaa Penny,RB,NYG,1.3,0.0,0.1,0.7,0.0
Derrick Coleman,RB,ARI,0.6,0.0,0.2,1.9,0.0
Damien Williams,RB,KC,1.4,0.0,0.1,1.1,0.0
Tommy Bohanon,RB,JAX,0.1,0.0,0.3,2.3,0.0
Senorise Perry,RB,MIA,0.6,0.0,0.1,0.7,0.0
Jaylen Samuels,RB,PIT,0.0,0.0,0.0,0.0,0.0
Brandon Wilson,RB,CIN,0.0,0.0,0.0,0.0,0.0
