player,team,pos,proj,cost
Joe Flacco,BAL,QB,11.168033333333335,130.0
Melvin Gordon,LAC,RB,20.53166666666667,790.0
Alvin Kamara,NO,RB,23.288,1140.0
James White,NE,RB,20.35333333333333,180.0
Keenan Allen,LAC,WR,19.924,670.0
Robert Woods,LA,WR,20.752666666666666,680.0
Kyle Rudolph,MIN,TE,10.982333333333335,130.0
Brett Maher,DAL,K,7.35,360.0
Dallas Cowboys,DAL,DST,2.9260000000000006,470.0
,,,137.27603333333334,4550.0
