player,team,pos,proj,cost
Joe Flacco,BAL,QB,11.168033333333335,130.0
Melvin Gordon,LAC,RB,20.53166666666667,790.0
Alvin Kamara,NO,RB,23.288,1140.0
James White,NE,RB,20.35333333333333,180.0
Keenan Allen,LAC,WR,19.924,670.0
Robert Woods,LA,WR,20.752666666666666,680.0
Kyle Rudolph,MIN,TE,10.982333333333335,130.0
Graham Gano,CAR,K,8.21,640.0
New England Patriots,NE,DST,2.5619999999999994,240.0
,,,137.77203333333335,4600.0
