Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Julio Jones,WR,ATL,0.7,0.0,7.0,107.3,0.7
Antonio Brown,WR,PIT,0.1,0.0,7.1,91.7,0.7
DeAndre Hopkins,WR,HOU,0.3,0.0,6.7,89.5,0.7
Tyreek Hill,WR,KC,7.5,0.0,5.9,86.0,0.6
Adam Thielen,WR,MIN,0.5,0.0,7.1,92.8,0.6
Davante Adams,WR,GB,0.0,0.0,6.4,82.7,0.8
Mike Evans,WR,TB,0.0,0.0,6.6,89.4,0.7
JuJu Smith-Schuster,WR,PIT,0.0,0.0,6.2,80.5,0.6
Stefon Diggs,WR,MIN,3.1,0.0,6.3,75.5,0.6
Keenan Allen,WR,LAC,0.2,0.0,6.6,81.6,0.6
Jarvis Landry,WR,CLE,0.1,0.0,6.6,82.0,0.5
Brandin Cooks,WR,LAR,2.1,0.0,5.1,73.1,0.6
Robert Woods,WR,LAR,4.2,0.0,5.2,70.8,0.6
Julian Edelman,WR,NE,1.3,0.0,5.9,68.3,0.6
Doug Baldwin,WR,SEA,0.0,0.0,5.1,64.1,0.6
Calvin Ridley,WR,ATL,2.7,0.0,4.5,60.8,0.6
Corey Davis,WR,TEN,0.0,0.0,5.3,66.6,0.5
Alshon Jeffery,WR,PHI,0.0,0.0,4.3,61.2,0.5
John Brown,WR,BAL,1.3,0.0,4.1,60.3,0.5
Quincy Enunwa,WR,NYJ,0.1,0.0,4.8,60.2,0.5
DeSean Jackson,WR,TB,0.6,0.0,3.8,58.9,0.5
Tyler Boyd,WR,CIN,1.7,0.0,5.5,68.7,0.3
Tyler Lockett,WR,SEA,2.7,0.0,4.0,59.9,0.4
Devin Funchess,WR,CAR,0.0,0.0,4.1,56.1,0.5
Keelan Cole,WR,JAX,0.0,0.0,4.5,59.6,0.4
Mohamed Sanu,WR,ATL,0.2,0.0,4.0,50.8,0.5
Allen Robinson,WR,CHI,0.0,0.0,4.7,61.5,0.3
Jordy Nelson,WR,OAK,0.0,0.0,3.9,48.4,0.5
Mike Williams,WR,LAC,0.2,0.0,3.5,48.0,0.5
Sammy Watkins,WR,KC,2.6,0.0,4.1,54.1,0.3
Kenny Stills,WR,MIA,0.0,0.0,3.4,49.0,0.4
Donte Moncrief,WR,JAX,0.0,0.0,3.6,46.2,0.5
Amari Cooper,WR,DAL,1.4,0.0,4.7,58.4,0.2
Sterling Shepard,WR,NYG,0.2,0.0,5.3,58.2,0.2
Michael Crabtree,WR,BAL,0.0,0.0,4.5,52.0,0.2
Keke Coutee,WR,HOU,2.7,0.0,4.1,48.4,0.2
Chester Rogers,WR,IND,0.1,0.0,4.9,52.3,0.2
Antonio Callaway,WR,CLE,2.0,0.0,3.3,46.3,0.2
Courtland Sutton,WR,DEN,0.1,0.0,2.8,40.0,0.4
Robby Anderson,WR,NYJ,1.1,0.0,3.1,45.7,0.3
Dede Westbrook,WR,JAX,1.1,0.0,3.9,52.3,0.2
Nelson Agholor,WR,PHI,2.2,0.0,4.2,45.9,0.2
Taylor Gabriel,WR,CHI,3.8,0.0,3.8,45.1,0.2
Chris Godwin,WR,TB,0.0,0.0,3.5,44.3,0.3
Larry Fitzgerald,WR,ARI,0.0,0.0,4.1,48.1,0.2
Marquise Goodwin,WR,SF,1.9,0.0,3.2,43.5,0.2
