Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Aaron Rodgers,QB,GB,315,3,0,20,0
Cam Newton,QB,CAR,260,3,1,40,0
Patrick Mahomes,QB,KC,310,3,0,10,0
Tom Brady,QB,NE,310,3,0,0,0
Jared Goff,QB,LAR,320,2,1,10,0
Ryan Fitzpatrick,QB,TB,305,2,1,15,0
Mitchell Trubisky,QB,CHI,245,2,2,45,0
Kirk Cousins,QB,MIN,290,2,1,10,0
Drew Brees,QB,NO,305,2,0,0,0
Baker Mayfield,QB,CLE,265,2,1,15,0
Matt Ryan,QB,ATL,285,2,1,5,0
Deshaun Watson,QB,HOU,255,2,1,20,0
Ben Roethlisberger,QB,PIT,275,2,1,5,0
Derek Carr,QB,OAK,265,2,1,5,0
Joe Flacco,QB,BAL,265,2,1,5,0
Matthew Stafford,QB,DET,265,2,1,5,0
Philip Rivers,QB,LAC,265,2,1,0,0
Russell Wilson,QB,SEA,235,2,1,15,0
Marcus Mariota,QB,TEN,220,1,1,35,0
Alex Smith,QB,WAS,250,1,0,20,0
Dak Prescott,QB,DAL,215,1,0,25,0
Case Keenum,QB,DEN,245,1,1,5,0
Brock Osweiler,QB,MIA,240,1,1,5,0
Nick Mullens,QB,SF,215,1,1,10,0
Sam Darnold,QB,NYJ,195,1,1,10,0
Lamar Jackson,QB,BAL,0,0,0,10,0
