Player,Team,Salary
Tyreek Hill,KAN,7900
T.Y. Hilton,IND,6800
Mike Evans,TAM,7400
Tre'Quan Smith,NOR,4900
D.J. Moore,CAR,5300
Stefon Diggs,MIN,7300
Chris Conley,KAN,4500
Davante Adams,GNB,8500
Kenny Golladay,DET,6400
Julio Jones,ATL,8700
Antonio Brown,PIT,8500
Keenan Allen,LAC,7600
Michael Thomas,NOR,8800
Josh Reynolds,LAR,5000
Odell Beckham Jr.,NYG,8500
Larry Fitzgerald,ARI,5900
Christian Kirk,ARI,5100
Robert Woods,LAR,7500
Doug Baldwin,SEA,6300
Brandin Cooks,LAR,7800
JuJu Smith-Schuster,PIT,7200
Curtis Samuel,CAR,4800
Adam Humphries,TAM,5500
Tajae Sharpe,TEN,4900
DeAndre Hopkins,HOU,8600
Adam Thielen,MIN,8600
Dontrelle Inman,IND,5100
Taylor Gabriel,CHI,5100
Keke Coutee,HOU,5600
Brandon LaFell,OAK,5500
Tyler Lockett,SEA,6200
John Ross,CIN,5500
Anthony Miller,CHI,5600
Aldrick Robinson,MIN,4600
Courtland Sutton,DEN,5600
Tyler Boyd,CIN,7000
Emmanuel Sanders,DEN,7200
Mohamed Sanu,ATL,5300
David Moore,SEA,5800
Cole Beasley,DAL,5300
Willie Snead,BAL,5300
Marcell Ateman,OAK,4500
Austin Carr,NOR,4500
Mike Williams,LAC,5400
Chris Godwin,TAM,5800
Golden Tate,PHI,6600
Seth Roberts,OAK,5100
DeSean Jackson,TAM,6300
Jarius Wright,CAR,4700
Allen Robinson,CHI,6800
Alshon Jeffery,PHI,7300
Calvin Ridley,ATL,6500
Jordan Matthews,PHI,4700
Amari Cooper,DAL,6600
Devin Funchess,CAR,5700
Keith Kirkwood,NOR,4500
Josh Doctson,WAS,5500
Ryan Switzer,PIT,4500
Josh Bellamy,CHI,4500
Corey Davis,TEN,6200
Tyrell Williams,LAC,6500
Sterling Shepard,NYG,6300
Dede Westbrook,JAC,5300
John Brown,BAL,5400
Chris Moore,BAL,4500
D.J. Chark,JAC,4600
Ryan Grant,IND,4600
Michael Floyd,WAS,4500
Chad Beebe,MIN,4500
Equanimeous St. Brown,GNB,4500
Demarcus Robinson,KAN,4600
Chester Rogers,IND,4900
Maurice Harris,WAS,5500
Donte Moncrief,JAC,5500
James Washington,PIT,4600
Zach Pascal,IND,4600
Bennie Fowler,NYG,4800
Michael Gallup,DAL,5100
Marquez Valdes-Scantling,GNB,5300
Michael Crabtree,BAL,5800
Laquon Treadwell,MIN,4600
Cameron Batson,TEN,4600
Trent Sherfield,ARI,4500
Auden Tate,CIN,4500
Sammy Watkins,KAN,6600
DaeSean Hamilton,DEN,4500
KhaDarel Hodge,LAR,4500
T.J. Jones,DET,4800
Marvin Hall,ATL,4500
Marcus Kemp,KAN,4500
J'Mon Moore,GNB,4500
Shelton Gibson,PHI,4500
Darrius Heyward-Bey,PIT,4500
Brandon Zylstra,MIN,4500
Alex Erickson,CIN,4500
Damiere Byrd,CAR,4500
Russell Gage,ATL,4500
J.J. Nelson,ARI,4600
Allen Hurns,DAL,4800
Nelson Agholor,PHI,5300
Darius Jennings,TEN,4500
Geremy Davis,LAC,4500
JoJo Natson,LAR,4500
River Cracraft,DEN,4500
Demaryius Thomas,HOU,5600
Justin Watson,TAM,4500
Jehu Chesson,WAS,4500
Travis Benjamin,LAC,4600
Sammie Coates,HOU,4500
DeAndre Carter,HOU,4500
Quadree Henderson,NYG,4500
Cody Core,CIN,4500
Jaron Brown,SEA,5100
Keelan Cole,JAC,4700
Justin Hardy,ATL,4600
Tim Patrick,DEN,4500
Russell Shepard,NYG,4500
Dwayne Harris,OAK,4500
