Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Return TD,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Pass Def,POS
Sterling Shepard,NYG,1.0,0.53,0.0,4.47,57.57,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Trent Sherfield,ARI,1.0,0.16,0.0,0.71,9.22,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tre'Quan Smith,NO,1.0,0.37,0.0,2.49,38.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
JuJu Smith-Schuster,PIT,1.0,1.74,0.01,5.52,70.41,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Willie Snead,BAL,1.0,0.59,0.0,3.05,36.33,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Equanimeous St. Brown,GB,1.0,0.08,0.0,2.25,27.05,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Courtland Sutton,DEN,1.0,0.43,0.0,3.13,55.45,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ryan Switzer,PIT,1.0,1.78,0.01,1.48,13.81,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Auden Tate,CIN,1.0,0.19,0.0,0.87,10.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Golden Tate,PHI,1.0,2.12,0.0,4.99,52.13,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Adam Thielen,MIN,1.0,0.12,0.0,6.75,85.84,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Demaryius Thomas,HOU,1.0,0.15,0.0,4.08,54.92,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Michael Thomas,NO,1.0,0.16,0.0,7.93,103.68,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Robert Tonyan,GB,1.0,0.02,0.0,0.19,1.53,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Laquon Treadwell,MIN,1.0,0.04,0.0,2.44,26.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Marquez Valdes-Scantling,GB,1.0,0.11,0.0,3.49,50.04,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
James Washington,PIT,1.0,0.03,0.0,1.67,19.87,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Sammy Watkins,KC,1.0,2.43,0.03,3.86,56.46,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Justin Watson,TB,1.0,0.13,0.0,0.24,3.81,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Dede Westbrook,JAX,1.0,1.2,0.01,4.03,49.7,0.3,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Mike Williams,LAC,1.0,2.05,0.0,1.97,26.47,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tyrell Williams,LAC,1.0,1.11,0.0,2.89,62.25,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Robert Woods,LA,1.0,3.02,0.0,5.25,83.1,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jarius Wright,CAR,1.0,0.54,0.0,2.13,23.74,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Brandon Zylstra,MIN,1.0,0.06,0.0,0.24,4.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
