Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Wil Lutz,NO,PHI,3,0,3,0,12.0,K
Chris Boswell,PIT,@JAC,3,0,2,0,11.0,K
Jake Elliott,PHI,@NO,2,0,3,0,9.0,K
Graham Gano,CAR,@DET,2,0,3,0,9.0,K
Sebastian Janikowski,SEA,GB,2,0,3,0,9.0,K
Cairo Santos,TB,@NYG,2,0,3,0,9.0,K
Adam Vinatieri,IND,TEN,2,0,3,0,9.0,K
Mike Badgley,LAC,DEN,2,0,2,0,8.0,K
Ka'imi Fairbairn,HOU,@WAS,2,0,2,0,8.0,K
Dustin Hopkins,WAS,HOU,2,0,2,0,8.0,K
Josh Lambo,JAC,PIT,2,0,2,0,8.0,K
Brett Maher,DAL,@ATL,2,0,2,0,8.0,K
Brandon McManus,DEN,@LAC,2,0,2,0,8.0,K
Cody Parkey,CHI,MIN,2,0,2,0,8.0,K
Matt Prater,DET,CAR,2,0,2,0,8.0,K
Aldrick Rosas,NYG,TB,2,0,2,0,8.0,K
Ryan Succop,TEN,@IND,2,0,2,0,8.0,K
Dan Bailey,MIN,@CHI,1,0,3,0,6.0,K
Matt Bryant,ATL,DAL,1,0,3,0,6.0,K
Mason Crosby,GB,@SEA,1,0,3,0,6.0,K
Phil Dawson,ARI,OAK,1,0,3,0,6.0,K
Justin Tucker,BAL,CIN,1,0,3,0,6.0,K
Randy Bullock,CIN,@BAL,1,0,2,0,5.0,K
Daniel Carlson,OAK,@ARI,1,0,2,0,5.0,K
Greg Zuerlein,LAR,KC,0,0,5,0,5.0,K
Harrison Butker,KC,@LAR,0,0,4,0,4.0,K
