Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Mike Badgley,LAC,1.0,2.36,0.0,0.48,0.49,0.52,0.2,K
Dan Bailey,MIN,1.0,1.81,0.02,0.48,0.49,0.42,0.15,K
Chris Boswell,PIT,1.0,2.58,0.0,0.48,0.52,0.41,0.18,K
Matt Bryant,ATL,1.0,2.94,0.04,0.47,0.57,0.38,0.29,K
Randy Bullock,CIN,1.0,1.92,0.04,0.48,0.48,0.41,0.23,K
Harrison Butker,KC,1.0,2.88,0.03,0.48,0.49,0.4,0.22,K
Daniel Carlson,OAK,1.0,1.74,0.05,0.48,0.68,0.53,0.17,K
Mason Crosby,GB,1.0,2.25,0.02,0.48,0.49,0.53,0.18,K
Jake Elliott,PHI,1.0,2.08,0.0,0.48,0.57,0.43,0.23,K
Ka'imi Fairbairn,HOU,1.0,2.63,0.0,0.48,0.53,0.39,0.23,K
Graham Gano,CAR,1.0,2.08,0.0,0.48,0.61,0.51,0.25,K
Dustin Hopkins,WAS,1.0,2.88,0.03,0.48,0.48,0.4,0.24,K
Sebastian Janikowski,SEA,1.0,2.6,0.11,0.48,0.45,0.43,0.22,K
Josh Lambo,JAX,1.0,2.03,0.05,0.48,0.46,0.42,0.28,K
Wil Lutz,NO,1.0,3.01,0.02,0.48,0.5,0.41,0.25,K
Brett Maher,DAL,1.0,3.09,0.0,0.48,0.5,0.37,0.21,K
Brandon McManus,DEN,1.0,1.9,0.03,0.48,0.45,0.41,0.24,K
Cody Parkey,CHI,1.0,2.93,0.06,0.48,0.56,0.42,0.16,K
Matt Prater,DET,1.0,2.35,0.01,0.48,0.51,0.68,0.29,K
Aldrick Rosas,NYG,1.0,2.52,0.0,0.48,0.55,0.48,0.22,K
Cairo Santos,TB,1.0,2.37,0.06,0.48,0.53,0.36,0.2,K
Ryan Succop,TEN,1.0,1.9,0.01,0.48,0.5,0.43,0.23,K
Justin Tucker,BAL,1.0,2.57,0.04,0.48,0.54,0.5,0.21,K
Adam Vinatieri,IND,1.0,2.32,0.0,0.48,0.5,0.36,0.21,K
Greg Zuerlein,LA,1.0,2.97,0.04,0.48,0.51,0.45,0.26,K
