Player,FG,FGA,XPT,FPTS,POS
Wil Lutz NO,2.4,2.7,3.3,10.5,K
Greg Zuerlein LAR,1.7,2.1,3.8,9.0,K
Matt Bryant ATL,2.0,2.2,2.6,8.6,K
Adam Vinatieri IND,2.0,2.2,2.6,8.4,K
Aldrick Rosas NYG,2.0,2.2,2.4,8.3,K
Sebastian Janikowski SEA,1.8,2.2,2.9,8.3,K
Michael Badgley LAC,1.9,2.1,2.6,8.2,K
Ryan Succop TEN,2.0,2.3,2.2,8.1,K
Harrison Butker KC,1.6,1.8,3.4,8.1,K
Justin Tucker BAL,1.8,2.0,2.5,8.0,K
Matt Prater DET,1.9,2.2,2.3,8.0,K
Jake Elliott PHI,1.8,2.2,2.5,8.0,K
Brett Maher DAL,1.8,2.1,2.4,7.8,K
Ka'imi Fairbairn HOU,1.9,2.2,2.2,7.8,K
Cairo Santos TB,1.8,2.1,2.5,7.8,K
Cody Parkey CHI,1.8,2.2,2.3,7.6,K
Josh Lambo JAC,1.9,2.1,1.9,7.6,K
Dustin Hopkins WAS,1.8,2.1,1.9,7.4,K
Mason Crosby GB,1.6,2.0,2.4,7.3,K
Brandon McManus DEN,1.7,2.0,2.0,7.0,K
Matt McCrane PIT,1.5,2.0,2.4,6.9,K
Dan Bailey MIN,1.5,1.9,2.2,6.7,K
Daniel Carlson OAK,1.4,1.8,1.8,6.0,K
Giorgio Tavecchio ATL,1.0,1.0,3.0,6.0,K
Randy Bullock CIN,1.3,1.6,1.9,5.8,K
Kai Forbath JAC,0.0,0.0,0.0,0.0,K
Eddy Pineiro OAK,0.0,0.0,0.0,0.0,K
Chandler Catanzaro CAR,0.0,0.0,0.0,0.0,K
Sam Ficken SEA,0.0,0.0,0.0,0.0,K
