Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,Team Def 2pt Ret,POS
San Francisco 49ers,SF,1.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,66.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0,529.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Chicago Bears,CHI,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,1.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,280.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,374.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,133.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,493.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,5.0,1.0,1.0,1.0,0.0,2.0,0.0,26.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,253.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,382.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,416.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,306.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,21.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,388.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,351.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,400.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,432.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,15.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,463.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,57.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,284.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,454.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,288.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
