Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,Team Def 2pt Ret,POS
Jacksonville Jaguars,JAX,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,76.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,357.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,54.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,393.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,58.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,363.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,23.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,284.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,158.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,302.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,51.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,457.0,0.0,0.0,0.0,1.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,528.0,0.0,0.0,0.0,0.0,1.0,0.0,DST
Los Angeles Rams,LA,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,15.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,102.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,387.0,0.0,1.0,0.0,0.0,0.0,1.0,DST
Washington Redskins,WAS,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,72.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,380.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,51.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,417.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,283.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,67.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,412.0,0.0,0.0,1.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,51.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,291.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,375.0,0.0,1.0,0.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,5.0,1.0,2.0,4.0,0.0,0.0,0.0,62.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,263.0,1.0,0.0,0.0,0.0,0.0,0.0,DST
