Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Stephen Gostkowski,NE,GB,3,0,3,0,12.0,K
Greg Zuerlein,LAR,@NO,3,0,3,0,12.0,K
Cody Parkey,CHI,@BUF,3,0,2,0,11.0,K
Harrison Butker,KC,@CLE,2,0,4,0,10.0,K
Dan Bailey,MIN,DET,2,0,3,0,9.0,K
Mason Crosby,GB,@NE,2,0,3,0,9.0,K
Graham Gano,CAR,TB,2,0,3,0,9.0,K
Justin Tucker,BAL,PIT,2,0,3,0,9.0,K
Chris Boswell,PIT,@BAL,2,0,2,0,8.0,K
Chandler Catanzaro,TB,@CAR,2,0,2,0,8.0,K
Ka'imi Fairbairn,HOU,@DEN,2,0,2,0,8.0,K
Robbie Gould,SF,OAK,2,0,2,0,8.0,K
Dustin Hopkins,WAS,ATL,2,0,2,0,8.0,K
Brett Maher,DAL,TEN,2,0,2,0,8.0,K
Brandon McManus,DEN,HOU,2,0,2,0,8.0,K
Jason Myers,NYJ,@MIA,2,0,2,0,8.0,K
Jason Sanders,MIA,NYJ,2,0,2,0,8.0,K
Caleb Sturgis,LAC,@SEA,2,0,2,0,8.0,K
Wil Lutz,NO,LAR,1,0,4,0,7.0,K
Daniel Carlson,OAK,@SF,1,0,3,0,6.0,K
Sebastian Janikowski,SEA,LAC,1,0,3,0,6.0,K
Greg Joseph,CLE,KC,1,0,3,0,6.0,K
Matt Prater,DET,@MIN,1,0,3,0,6.0,K
Giorgio Tavecchio,ATL,@WAS,1,0,3,0,6.0,K
Steve Hauschka,BUF,CHI,1,0,2,0,5.0,K
Ryan Succop,TEN,@DAL,1,0,2,0,5.0,K
