Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Greg Zuerlein, LAR K",@NO,L 35-45,1.2/1.3,0.6/0.7,0.2/0.4,2.1/2.4,3/3.2,9.9,K
"Justin Tucker, Bal K",Pit,L 16-23,1.2/1.2,0.6/0.7,0.2/0.3,2/2.2,2.7/2.7,9.6,K
"Stephen Gostkowski, NE K",GB,W 31-17,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,3.2/3.4,9.3,K
"Wil Lutz, NO K",LAR,W 45-35,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.8/2.9,9.2,K
"Dan Bailey, Min K",Det,W 24-9,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,2.8/3,8.9,K
"Graham Gano*, Car K IR",TB,W 42-28,1/1.1,0.5/0.6,0.2/0.3,1.7/1.9,3.1/3.2,8.8,K
"Mason Crosby, GB K",@NE,L 17-31,1.2/1.3,0.5/0.7,0.2/0.4,1.9/2.4,2.3/2.5,8.6,K
"Brett Maher, Dal K",Ten,L 14-28,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,1.8/1.9,8.5,K
"Jason Myers, NYJ K",@Mia,L 6-13,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.2/2.3,8.4,K
"Harrison Butker, KC K",@Cle,W 37-21,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,3.3/3.5,8.4,K
"Matt Prater, Det K",@Min,L 9-24,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.1,2/2.1,8.3,K
"Ka'imi Fairbairn, Hou K",@Den,W 19-17,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,2.3/2.5,8.1,K
"Dustin Hopkins, Wsh K",Atl,L 14-38,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2.4/2.6,8.1,K
"Chris Boswell*, Pit K IR",@Bal,W 23-16,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.3/2.4,8.1,K
"Greg Joseph, Cle K",KC,L 21-37,1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,2.2/2.4,7.8,K
"Sebastian Janikowski, Sea K Q",LAC,L 17-25,1/1.1,0.5/0.6,0.2/0.3,1.6/1.9,2.5/2.7,7.8,K
"Caleb Sturgis, LAC K",@Sea,W 25-17,1/1.1,0.5/0.6,0.2/0.3,1.6/2,2.2/2.4,7.6,K
"Cody Parkey, Chi K",@Buf,W 41-9,1/1.1,0.5/0.6,0.2/0.3,1.6/1.9,2.3/2.5,7.6,K
"Giorgio Tavecchio, Atl K",@Wsh,W 38-14,1/1.1,0.5/0.6,0.2/0.3,1.6/2,2.1/2.3,7.5,K
"Ryan Succop, Ten K",@Dal,W 28-14,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,1.3/1.4,7.5,K
"Chandler Catanzaro, Car K",TB,W 42-28,1/1.1,0.5/0.6,0.2/0.3,1.6/1.9,2.3/2.5,7.5,K
"Brandon McManus, Den K",Hou,L 17-19,0.9/1,0.4/0.6,0.2/0.3,1.6/1.9,2.1/2.2,7.3,K
"Daniel Carlson, Oak K",@SF,L 3-34,1/1.1,0.5/0.6,0.2/0.3,1.6/2,1.9/2.1,7.3,K
"Robbie Gould, SF K",Oak,W 34-3,1/1,0.5/0.5,0.2/0.3,1.6/1.8,1.7/1.7,7.1,K
"Stephen Hauschka, Buf K",Chi,L 9-41,1/1,0.5/0.6,0.2/0.3,1.6/1.8,1.2/1.2,6.6,K
"Jason Sanders, Mia K",NYJ,W 13-6,0.8/0.8,0.4/0.5,0.1/0.2,1.3/1.5,2.4/2.6,6.6,K
"Adam Vinatieri, Ind K",** BYE **,0/0,0/0,0/0,0/0,0/0,--,,K
"Phil Dawson*, Ari K IR",** BYE **,0/0,0/0,0/0,0/0,0/0,--,,K
"Matt Bryant, Atl K",@Wsh,W 38-14,0/0,0/0,0/0,0/0,0/0,0,K
"Mike Nugent*, Oak K IR",@SF,L 3-34,0/0,0/0,0/0,0/0,0/0,0,K
"Nick Novak, LAC K",@Sea,W 25-17,0/0,0/0,0/0,0/0,0/0,0,K
"Nick Folk, TB K",@Car,L 28-42,0/0,0/0,0/0,0/0,0/0,0,K
"Dan Carpenter, Buf K",Chi,L 9-41,0/0,0/0,0/0,0/0,0/0,0,K
"Connor Barth, Chi K",@Buf,W 41-9,0/0,0/0,0/0,0/0,0/0,0,K
"Kai Forbath, Jax K",** BYE **,0/0,0/0,0/0,0/0,0/0,--,,K
"Blair Walsh, Sea K",LAC,L 17-25,0/0,0/0,0/0,0/0,0/0,0,K
"Randy Bullock, Cin K",** BYE **,0/0,0/0,0/0,0/0,0/0,--,,K
"Travis Coons, LAC K",@Sea,W 25-17,0/0,0/0,0/0,0/0,0/0,0,K
"Cairo Santos, TB K",@Car,L 28-42,0/0,0/0,0/0,0/0,0/0,0,K
"Kasey Redfern, Det K Q",@Min,L 9-24,0/0,0/0,0/0,0/0,0/0,0,K
"Patrick Murray, TB K",@Car,L 28-42,0/0,0/0,0/0,0/0,0/0,0,K
"Josh Lambo*, Jax K IR",** BYE **,0/0,0/0,0/0,0/0,0/0,--,,K
