Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Dan Bailey,MIN,1.0,2.91,0.0,0.48,0.59,0.44,0.16,K
Chris Boswell,PIT,1.0,2.12,0.0,0.48,0.52,0.43,0.17,K
Harrison Butker,KC,1.0,3.05,0.04,0.48,0.5,0.41,0.2,K
Daniel Carlson,OAK,1.0,2.09,0.04,0.48,0.6,0.37,0.16,K
Chandler Catanzaro,CAR,1.0,2.57,0.04,0.5,0.72,0.51,0.17,K
Mason Crosby,GB,1.0,2.22,0.04,0.48,0.48,0.44,0.19,K
Ka'imi Fairbairn,HOU,1.0,2.05,0.04,0.48,0.5,0.45,0.28,K
Graham Gano,CAR,1.0,2.64,0.0,0.48,0.71,0.5,0.19,K
Stephen Gostkowski,NE,1.0,2.83,0.03,0.48,0.49,0.41,0.25,K
Robbie Gould,SF,1.0,2.11,0.0,0.48,0.53,0.45,0.22,K
Stephen Hauschka,BUF,1.0,1.14,0.03,0.48,0.54,0.53,0.28,K
Dustin Hopkins,WAS,1.0,2.8,0.03,0.48,0.49,0.42,0.24,K
Sebastian Janikowski,SEA,1.0,2.59,0.02,0.48,0.5,0.39,0.21,K
Greg Joseph,CLE,1.0,2.68,0.0,0.48,0.5,0.46,0.15,K
Wil Lutz,NO,1.0,2.53,0.04,0.48,0.51,0.43,0.26,K
Brett Maher,DAL,1.0,2.55,0.0,0.48,0.48,0.48,0.28,K
Brandon McManus,DEN,1.0,1.89,0.0,0.48,0.49,0.55,0.33,K
Jason Myers,NYJ,1.0,2.0,0.01,0.48,0.67,0.51,0.18,K
Cody Parkey,CHI,1.0,2.83,0.03,0.48,0.49,0.42,0.21,K
Matt Prater,DET,1.0,2.25,0.03,0.48,0.54,0.61,0.25,K
Jason Sanders,MIA,1.0,2.87,0.05,0.48,0.53,0.43,0.19,K
Caleb Sturgis,,1.0,2.15,0.02,0.48,0.56,0.55,0.16,K
Ryan Succop,TEN,1.0,1.49,0.02,0.48,0.53,0.45,0.26,K
Giorgio Tavecchio,ATL,1.0,2.37,0.01,0.48,0.55,0.37,0.21,K
Justin Tucker,BAL,1.0,2.41,0.01,0.48,0.55,0.48,0.23,K
Greg Zuerlein,LA,1.0,2.13,0.02,0.48,0.65,0.58,0.28,K
