Player,FG,FGA,XPT,FPTS,POS
Stephen Gostkowski NE,2.3,2.6,3.2,10.1,K
Greg Zuerlein LAR,2.3,2.5,3.1,9.9,K
Harrison Butker KC,2.0,2.2,3.4,9.3,K
Wil Lutz NO,1.8,2.1,3.1,8.5,K
Dan Bailey MIN,1.9,2.3,2.7,8.5,K
Cody Parkey CHI,2.0,2.3,2.4,8.4,K
Justin Tucker BAL,2.0,2.2,2.5,8.3,K
Brett Maher DAL,2.0,2.3,2.2,8.2,K
Dustin Hopkins WAS,1.9,2.2,2.4,8.2,K
Mason Crosby GB,1.9,2.2,2.5,8.1,K
Brandon McManus DEN,1.9,2.2,2.3,8.1,K
Ka'imi Fairbairn HOU,1.9,2.2,2.2,7.9,K
Robbie Gould SF,1.9,2.1,2.0,7.7,K
Chandler Catanzaro CAR,1.8,2.1,2.3,7.7,K
Jason Myers NYJ,1.8,2.1,2.1,7.6,K
Jason Sanders MIA,1.7,1.9,2.2,7.3,K
Sebastian Janikowski SEA,1.6,1.9,2.6,7.3,K
Matt Prater DET,1.6,1.9,2.4,7.2,K
Daniel Carlson OAK,1.5,2.0,2.5,7.1,K
Giorgio Tavecchio ATL,1.6,1.8,2.4,7.1,K
Greg Joseph CLE,1.5,1.9,2.3,6.9,K
Ryan Succop TEN,1.6,1.9,1.7,6.3,K
Steven Hauschka BUF,1.4,1.5,1.5,5.6,K
Sam Ficken SEA,0.0,0.0,0.0,0.0,K
Michael Badgley LAC,0.0,0.0,0.0,0.0,K
Cairo Santos TB,0.0,0.0,0.0,0.0,K
Matt McCrane PIT,0.0,0.0,0.0,0.0,K
Eddy Pineiro OAK,0.0,0.0,0.0,0.0,K
