Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.02,0.0,0.99,11.71,0.09,TE
Mo Alie-Cox,IND,1.0,0.14,0.0,1.16,14.85,0.11,TE
Dwayne Allen,NE,1.0,0.11,0.0,0.61,4.86,0.05,TE
Mark Andrews,BAL,1.0,0.13,0.0,1.58,20.98,0.15,TE
Dan Arnold,NO,1.0,0.14,0.0,1.55,20.76,0.15,TE
Antony Auclair,TB,1.0,0.03,0.0,0.37,2.61,0.03,TE
Blake Bell,JAX,1.0,0.03,0.0,0.84,6.84,0.05,TE
Nick Boyle,BAL,1.0,0.05,0.0,1.21,11.75,0.07,TE
Cameron Brate,TB,1.0,0.06,0.0,2.54,28.29,0.23,TE
Ben Braunecker,CHI,1.0,0.1,0.0,0.39,3.91,0.04,TE
Trey Burton,CHI,1.0,0.0,0.0,2.73,29.69,0.23,TE
Derek Carrier,OAK,1.0,0.02,0.0,0.5,3.31,0.04,TE
Tyler Conklin,MIN,1.0,0.03,0.0,0.34,4.07,0.04,TE
Jared Cook,OAK,1.0,0.05,0.0,3.67,48.19,0.33,TE
Jason Croom,BUF,1.0,0.11,0.0,2.51,30.15,0.13,TE
Sean Culkin,LAC,1.0,0.06,0.0,0.42,6.32,0.04,TE
Jerome Cunningham,DET,1.0,0.06,0.0,0.85,7.98,0.06,TE
Darrell Daniels,ARI,1.0,0.03,0.0,0.05,0.51,0.01,TE
Seth DeValve,CLE,1.0,0.02,0.0,0.45,5.1,0.05,TE
Ed Dickson,SEA,1.0,0.07,0.0,1.58,19.61,0.14,TE
Ross Dwelley,SF,1.0,0.02,0.0,0.5,3.58,0.04,TE
Eric Ebron,IND,1.0,1.39,0.01,4.28,46.61,0.38,TE
Evan Engram,NYG,1.0,3.54,0.02,4.83,59.19,0.4,TE
Donnie Ernsberger,TB,1.0,0.05,0.0,0.35,3.7,0.04,TE
Zach Ertz,PHI,1.0,0.07,0.0,5.88,62.27,0.45,TE
Gerald Everett,LA,1.0,1.68,0.01,3.21,35.4,0.25,TE
Darren Fells,CLE,1.0,0.05,0.0,0.56,5.42,0.06,TE
Anthony Firkser,TEN,1.0,0.02,0.0,1.62,18.96,0.12,TE
Matt Flanagan,WAS,1.0,0.04,0.0,0.66,7.13,0.05,TE
Antonio Gates,LAC,1.0,0.09,0.0,1.24,17.25,0.08,TE
Rico Gathers,DAL,1.0,0.02,0.0,0.21,2.02,0.03,TE
Mike Gesicki,MIA,1.0,0.03,0.0,0.74,8.12,0.06,TE
Dallas Goedert,PHI,1.0,0.06,0.0,1.85,18.78,0.13,TE
Jimmy Graham,GB,1.0,0.11,0.0,2.91,32.42,0.21,TE
Virgil Green,LAC,1.0,0.1,0.0,1.37,15.77,0.1,TE
Jermaine Gresham,ARI,1.0,0.06,0.0,0.88,10.33,0.08,TE
Ryan Griffin,HOU,1.0,0.04,0.0,2.13,21.76,0.11,TE
Xavier Grimble,PIT,1.0,0.03,0.0,0.27,3.17,0.04,TE
Rob Gronkowski,NE,1.0,0.16,0.0,2.57,34.95,0.23,TE
Clark Harris,CIN,1.0,0.03,0.0,0.05,0.62,0.01,TE
Demetrius Harris,KC,1.0,0.1,0.0,0.95,11.03,0.08,TE
Temarrick Hemingway,DEN,1.0,0.02,0.0,0.21,3.08,0.03,TE
Chris Herndon,NYJ,1.0,0.05,0.0,3.74,48.09,0.28,TE
Ryan Hewitt,IND,1.0,0.03,0.0,0.0,0.0,0.01,TE
Tyler Higbee,LA,1.0,0.07,0.0,1.46,17.6,0.1,TE
Josh Hill,NO,1.0,0.12,0.0,1.62,18.09,0.11,TE
Austin Hooper,ATL,1.0,0.02,0.0,3.22,31.04,0.22,TE
Hayden Hurst,BAL,1.0,0.1,0.0,0.86,10.32,0.06,TE
Jesse James,PIT,1.0,0.03,0.0,1.13,11.73,0.11,TE
Blake Jarwin,DAL,1.0,0.12,0.0,1.34,15.26,0.09,TE
Travis Kelce,KC,1.0,0.06,0.0,6.29,80.28,0.55,TE
Lance Kendricks,GB,1.0,0.03,0.0,1.26,11.2,0.08,TE
George Kittle,SF,1.0,0.38,0.0,6.13,84.59,0.48,TE
Ben Koyack,JAX,1.0,0.03,0.0,0.18,1.06,0.02,TE
Matt LaCosse,DEN,1.0,0.09,0.0,2.5,28.38,0.16,TE
Jordan Leggett,NYJ,1.0,0.03,0.0,1.33,14.79,0.08,TE
Matt Lengel,CIN,1.0,0.03,0.0,0.63,5.76,0.04,TE
Marcedes Lewis,GB,1.0,0.03,0.0,0.15,1.61,0.02,TE
Chris Manhertz,CAR,1.0,0.03,0.0,0.48,2.53,0.03,TE
Vance McDonald,PIT,1.0,0.08,0.0,3.24,33.21,0.23,TE
David Morgan,MIN,1.0,0.06,0.0,0.12,2.35,0.0,TE
Johnny Mundt,LA,1.0,0.04,0.0,0.17,2.49,0.03,TE
David Njoku,CLE,1.0,0.06,0.0,2.9,28.38,0.24,TE
Nick O'Leary,MIA,1.0,0.03,0.0,0.56,4.82,0.04,TE
James O'Shaughnessy,JAX,1.0,0.05,0.0,1.95,17.75,0.13,TE
Brian Parker,DEN,1.0,0.02,0.0,0.88,7.79,0.06,TE
Logan Paulsen,ATL,1.0,0.03,0.0,0.15,1.91,0.02,TE
John Phillips,ARI,1.0,0.03,0.0,0.46,2.5,0.03,TE
MyCole Pruitt,TEN,1.0,0.08,0.0,1.24,12.82,0.1,TE
Richard Rodgers,PHI,1.0,0.03,0.0,0.24,2.28,0.03,TE
Kyle Rudolph,MIN,1.0,0.06,0.0,3.33,36.2,0.26,TE
Eric Saubert,ATL,1.0,0.01,0.0,0.26,1.78,0.03,TE
Dalton Schultz,DAL,1.0,0.05,0.0,1.19,14.03,0.09,TE
Adam Shaheen,CHI,1.0,0.05,0.0,1.07,15.48,0.11,TE
Scott Simonson,NYG,1.0,0.08,0.0,0.76,7.12,0.05,TE
Lee Smith,OAK,1.0,0.02,0.0,0.44,3.26,0.04,TE
Durham Smythe,MIA,1.0,0.12,0.0,0.66,7.03,0.03,TE
Jeremy Sprinkle,WAS,1.0,0.06,0.0,1.03,11.22,0.1,TE
Luke Stocker,TEN,1.0,0.3,0.0,0.67,8.29,0.06,TE
Ian Thomas,CAR,1.0,0.05,0.0,2.92,30.33,0.2,TE
Jordan Thomas,HOU,1.0,0.05,0.0,0.93,11.56,0.09,TE
Logan Thomas,BUF,1.0,0.05,0.0,0.9,9.54,0.04,TE
Levine Toilolo,DET,1.0,0.07,0.0,1.7,22.41,0.13,TE
C.J. Uzomah,CIN,1.0,0.06,0.0,3.01,33.2,0.24,TE
Nick Vannett,SEA,1.0,0.07,0.0,1.24,15.2,0.12,TE
Benjamin Watson,NO,1.0,0.12,0.0,1.06,12.73,0.11,TE
Maxx Williams,BAL,1.0,0.82,0.01,0.83,7.81,0.04,TE
