Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Broncos, DEN",1.4,0.0,3.5,40.8,1.4,2.0,0.1,18.5,212.0,73.0,285,15,DST
"Bills, BUF",1.3,0.0,2.9,40.3,0.7,1.0,0.03,15.0,173.0,121.0,294,13,DST
"Lions, DET",0.8,0.0,2.4,39.6,0.7,0.9,0.25,17.4,185.0,108.0,293,12,DST
"Texans, HOU",1.2,0.1,3.3,39.1,0.8,1.2,0.2,19.9,226.0,90.0,316,12,DST
"Cardinals, ARI",1.6,0.0,2.5,41.1,0.9,1.2,0.06,16.7,205.0,113.0,318,11,DST
"Titans, TEN",1.1,0.0,3.4,37.9,0.7,0.9,0.09,15.5,212.0,102.0,314,11,DST
"Steelers, PIT",0.8,0.0,3.2,36.4,0.8,1.1,0.1,16.8,225.0,86.0,311,11,DST
"Jaguars, JAC",1.1,0.0,2.6,38.7,0.9,1.2,0.06,21.4,198.0,90.0,288,10,DST
"Bears, CHI",1.4,0.0,3.6,40.7,0.7,0.9,0.17,24.1,246.0,97.0,343,10,DST
"Eagles, PHI",1.2,0.1,2.9,41.4,1.0,1.4,0.14,21.1,241.0,95.0,336,10,DST
"Seahawks, SEA",0.8,0.0,2.5,39.0,0.6,0.8,0.17,17.4,227.0,82.0,309,10,DST
"Patriots, NE",0.7,0.0,2.6,42.9,0.8,1.2,0.04,16.7,231.0,98.0,329,9,DST
"Raiders, OAK",0.7,0.0,2.6,42.1,1.1,1.6,0.27,24.3,229.0,122.0,351,9,DST
"Chargers, LAC",1.2,0.0,2.4,43.3,0.6,0.8,0.29,24.4,238.0,112.0,350,9,DST
"Jets, NYJ",1.0,0.2,2.4,42.3,0.7,1.0,0.25,25.8,284.0,91.0,375,9,DST
"Giants, NYG",1.1,0.0,1.3,45.0,0.7,0.9,0.1,20.2,241.0,102.0,343,9,DST
"Rams, LAR",0.9,0.1,2.8,41.7,0.8,1.2,0.08,21.2,230.0,92.0,322,8,DST
"Panthers, CAR",1.0,0.0,2.5,45.5,0.9,1.3,0.08,26.3,287.0,86.0,373,8,DST
"Saints, NO",1.0,0.0,2.3,45.5,1.2,1.7,0.34,28.3,268.0,158.0,426,8,DST
"Colts, IND",1.1,0.0,2.0,45.3,0.9,1.2,0.12,25.8,235.0,126.0,361,8,DST
"Redskins, WAS",0.5,0.0,2.3,45.9,1.2,1.7,0.17,24.6,239.0,138.0,377,8,DST
"Browns, CLE",1.1,0.0,2.0,38.8,0.8,1.1,0.09,22.3,216.0,118.0,334,8,DST
"Ravens, BAL",0.8,0.0,2.3,42.5,0.8,1.1,0.13,22.5,236.0,89.0,325,8,DST
"49ers, SF",0.6,0.0,2.2,39.9,0.4,0.6,0.3,24.4,190.0,134.0,324,8,DST
"Falcons, ATL",0.8,0.0,2.3,47.5,0.6,0.8,0.1,26.6,254.0,151.0,405,7,DST
"Chiefs, KC",1.1,0.1,1.7,40.1,0.5,0.7,0.09,21.9,233.0,104.0,337,7,DST
"Cowboys, DAL",0.6,0.0,2.2,43.9,0.7,0.9,0.08,26.5,236.0,137.0,373,7,DST
"Dolphins, MIA",0.7,0.0,2.0,44.4,0.5,0.7,0.12,25.3,297.0,106.0,403,7,DST
"Packers, GB",0.4,0.0,2.5,43.4,0.7,1.0,0.06,21.4,241.0,141.0,382,7,DST
