Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,82.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,1.0,492.0,0.0,0.0,0.0,1.0,0.0,DST
Chicago Bears,CHI,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,14.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,317.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,437.0,0.0,0.0,1.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,63.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,265.0,1.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,407.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,230.0,1.0,0.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,40.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,304.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,80.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,285.0,1.0,0.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,122.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,414.0,0.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,21.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,372.0,0.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,297.0,1.0,0.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,142.0,1.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,493.0,0.0,0.0,0.0,1.0,0.0,DST
Atlanta Falcons,ATL,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,57.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,391.0,0.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,389.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,396.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,48.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,387.0,0.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,89.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,424.0,0.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,523.0,0.0,0.0,0.0,0.0,1.0,DST
New England Patriots,NE,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,95.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,357.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,406.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,348.0,0.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,29.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,435.0,0.0,0.0,1.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,239.0,1.0,0.0,0.0,0.0,0.0,DST
