Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Fum,Tack,Ast,Fum Rec,POS
Jerell Adams,HOU,1.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dwayne Allen,NE,1.0,6.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,TE
Blake Bell,JAX,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Garrett Celek,SF,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Charles Clay,BUF,1.0,5.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Alan Cross,TB,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Jack Doyle,IND,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Xavier Grimble,PIT,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,5.0,109.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Hunter Henry,LAC,1.0,3.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,6.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,2.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Sean McGrath,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Greg Olsen,CAR,1.0,9.0,181.0,0.0,1.0,0.0,0.0,0.0,0.0,TE
Logan Paulsen,ATL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
John Phillips,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,8.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dion Sims,CHI,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Geoff Swaim,DAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Will Tye,PHI,1.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hakeem Valles,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,5.0,66.0,1.0,0.0,1.0,0.0,0.0,1.0,TE
