Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Davante Adams,GB,1.0,0.06,0.0,6.96,95.16,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Nelson Agholor,PHI,1.0,1.16,0.01,2.19,31.3,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Keenan Allen,LAC,1.0,0.54,0.0,4.75,66.58,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Danny Amendola,MIA,1.0,0.13,0.0,4.04,46.94,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robby Anderson,NYJ,1.0,0.79,0.01,3.82,58.83,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marcell Ateman,OAK,1.0,0.19,0.0,2.69,39.47,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Doug Baldwin,SEA,1.0,0.34,0.0,3.81,60.88,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cameron Batson,TEN,1.0,0.09,0.0,0.13,3.07,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Cole Beasley,DAL,1.0,0.38,0.0,2.79,30.13,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chad Beebe,MIN,1.0,0.19,0.0,0.83,8.79,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Josh Bellamy,CHI,1.0,0.35,0.0,0.91,9.85,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Kelvin Benjamin,KC,1.0,0.32,0.0,0.95,15.5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Travis Benjamin,LAC,1.0,0.99,0.0,1.35,19.18,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Victor Bolden,BUF,1.0,0.06,0.0,0.02,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
