player,team,pos,proj,cost
Taylor Heinicke,CAR,QB,8.462133333333332,160.0
Ezekiel Elliott,DAL,RB,22.302333333333333,1350.0
Melvin Gordon,LAC,RB,17.015,280.0
Christian McCaffrey,CAR,RB,25.959999999999997,200.0
Davante Adams,GB,WR,23.548666666666666,400.0
T.Y. Hilton,IND,WR,18.165,230.0
Rob Gronkowski,NE,TE,13.109,1030.0
Stephen Hauschka,BUF,K,5.300000000000001,890.0
Seattle Seahawks,SEA,DST,1.1059999999999999,300.0
,,,134.96813333333333,4840.0
