Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,1.0,288.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,0.0,29.0,0.0,0.0,0.0,1.0,396.0,0.0,1.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,69.0,0.0,28.0,0.0,0.0,0.0,1.0,402.0,0.0,0.0,1.0,0.0,DST
Buffalo Bills,BUF,1.0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,88.0,0.0,19.0,0.0,1.0,0.0,0.0,345.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,82.0,0.0,23.0,0.0,0.0,1.0,0.0,372.0,0.0,1.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,31.0,0.0,0.0,0.0,1.0,501.0,0.0,0.0,0.0,1.0,DST
Tampa Bay Buccaneers,TB,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,12.0,0.0,14.0,0.0,1.0,0.0,0.0,414.0,0.0,0.0,1.0,0.0,DST
Arizona Cardinals,ARI,1.0,7.0,2.0,1.0,2.0,1.0,0.0,0.0,78.0,0.0,21.0,0.0,0.0,1.0,0.0,286.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,34.0,0.0,0.0,0.0,1.0,389.0,0.0,1.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,93.0,0.0,23.0,0.0,0.0,1.0,0.0,522.0,0.0,0.0,0.0,1.0,DST
Dallas Cowboys,DAL,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,14.0,0.0,1.0,0.0,0.0,345.0,0.0,1.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,133.0,1.0,30.0,0.0,0.0,0.0,1.0,398.0,0.0,1.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,24.0,0.0,0.0,1.0,0.0,244.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,24.0,0.0,16.0,0.0,1.0,0.0,0.0,267.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,23.0,0.0,0.0,1.0,0.0,406.0,0.0,0.0,1.0,0.0,DST
New York Jets,NYJ,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,25.0,0.0,31.0,0.0,0.0,0.0,1.0,436.0,0.0,0.0,1.0,0.0,DST
Detroit Lions,DET,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,33.0,0.0,23.0,0.0,0.0,1.0,0.0,346.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,45.0,0.0,16.0,0.0,1.0,0.0,0.0,221.0,1.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,17.0,0.0,1.0,0.0,0.0,315.0,0.0,1.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,30.0,0.0,13.0,1.0,0.0,0.0,0.0,262.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,423.0,0.0,0.0,1.0,0.0,DST
Los Angeles Rams,LA,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,87.0,0.0,24.0,0.0,0.0,1.0,0.0,305.0,0.0,1.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19.0,0.0,16.0,0.0,1.0,0.0,0.0,310.0,0.0,1.0,0.0,0.0,DST
Washington Redskins,WAS,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,134.0,1.0,10.0,1.0,0.0,0.0,0.0,306.0,0.0,1.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,0.0,13.0,1.0,0.0,0.0,0.0,316.0,0.0,1.0,0.0,0.0,DST
Houston Texans,HOU,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,31.0,0.0,0.0,0.0,1.0,351.0,0.0,1.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,17.0,0.0,1.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,150.0,1.0,13.0,1.0,0.0,0.0,0.0,214.0,1.0,0.0,0.0,0.0,DST
