Player,Bye,Proj,Actual,Pts vs.*,Sack,Safe,TFL,Int,Fum Rec,TD,TD,Blk Kick,4 Dwn Stops,Yds Allow*,3 And Outs,Yds,TD,TD,POS
No new player Notes Tennessee Ten - DEF Final (L) 13-12 @ Buf,8,89,89,16.3,3.0,0.0,4.2,1.0,0.7,0.3,0.1,0.1,0.4,254,3.4,94.8,0.3,0.1,DST
No new player Notes New England NE - DEF Final (W) 38-24 vs Ind,11,117,117,19.5,3.2,0.1,5.0,1.0,0.6,0.2,0.0,0.1,0.8,379,4.1,89.1,0.2,0.0,DST
No new player Notes Carolina Car - DEF Final (W) 33-31 vs NYG,4,133,133,18.5,3.4,0.0,5.0,1.1,0.7,0.2,0.0,0.1,1.0,343,4.0,40.0,0.2,0.0,DST
No new player Notes Cincinnati Cin - DEF Final (W) 27-17 vs Mia,9,142,142,20.8,2.9,0.0,4.2,1.0,0.6,0.2,0.0,0.1,0.7,338,3.2,92.9,0.2,0.0,DST
No new player Notes Philadelphia Phi - DEF Final (L) 23-21 vs Min,9,147,147,22.3,2.8,0.1,4.4,1.0,0.6,0.2,0.0,0.1,0.9,353,3.0,79.0,0.2,0.0,DST
No new player Notes Baltimore Bal - DEF Final (L) 12-9 @ Cle,10,152,152,22.0,3.2,0.1,5.0,1.1,0.7,0.1,0.0,0.0,0.9,342,4.0,72.2,0.1,0.0,DST
No new player Notes Houston Hou - DEF Final (W) 19-16 vs Dal,10,157,157,21.0,3.2,0.1,4.9,0.9,0.6,0.1,0.1,0.0,0.3,379,3.0,93.4,0.1,0.1,DST
No new player Notes Los Angeles LAR - DEF Final (W) 33-31 @ Sea,12,173,173,21.5,2.9,0.1,4.7,1.0,0.5,0.3,0.1,0.0,0.3,359,3.1,49.4,0.3,0.1,DST
No new player Notes Los Angeles LAC - DEF Final (W) 26-10 vs Oak,8,184,184,23.3,2.7,0.0,4.5,0.9,0.5,0.2,0.0,0.0,0.7,412,2.9,99.4,0.2,0.0,DST
No new player Notes Denver Den - DEF Final (L) 34-16 @ NYJ,10,196,196,20.8,2.7,0.0,3.5,0.8,0.6,0.2,0.1,0.1,0.4,341,3.7,45.9,0.2,0.1,DST
