Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Patriots, NE",1.2,0.0,3.1,38.2,1.0,1.4,0.09,11.5,194.0,111.0,305,14,DST
"Panthers, CAR",1.5,0.0,2.7,41.2,1.1,1.6,0.12,17.2,232.0,97.0,329,12,DST
"Bills, BUF",0.9,0.0,1.9,36.8,0.7,1.0,0.2,15.4,177.0,104.0,281,12,DST
"Vikings, MIN",1.2,0.0,2.9,46.3,1.0,1.4,0.16,14.3,204.0,121.0,325,12,DST
"Eagles, PHI",1.1,0.1,3.4,40.4,0.8,1.1,0.12,18.3,246.0,85.0,331,12,DST
"Broncos, DEN",1.0,0.0,3.3,40.3,0.8,1.1,0.17,17.9,217.0,88.0,305,11,DST
"Cardinals, ARI",1.5,0.0,2.7,42.4,0.8,1.1,0.07,18.0,185.0,117.0,302,11,DST
"49ers, SF",1.5,0.1,1.9,41.4,0.7,1.0,0.17,18.9,234.0,107.0,341,11,DST
"Buccaneers, TB",1.3,0.0,2.8,44.6,0.9,1.2,0.31,24.6,212.0,107.0,319,11,DST
"Ravens, BAL",1.1,0.1,2.7,42.0,0.7,1.0,0.08,18.5,217.0,85.0,302,10,DST
"Texans, HOU",0.7,0.1,2.4,40.1,0.7,1.0,0.26,24.4,187.0,110.0,297,10,DST
"Colts, IND",1.2,0.0,2.3,38.5,1.0,1.4,0.04,18.8,207.0,99.0,306,10,DST
"Steelers, PIT",1.4,0.0,1.7,43.6,0.9,1.3,0.08,18.6,238.0,116.0,354,10,DST
"Dolphins, MIA",1.0,0.0,2.6,38.3,0.8,1.1,0.08,16.6,220.0,103.0,323,10,DST
"Packers, GB",1.0,0.0,2.4,41.3,0.7,0.9,0.13,19.0,269.0,97.0,366,10,DST
"Rams, LAR",0.6,0.0,2.5,42.5,0.8,1.2,0.19,17.6,183.0,127.0,310,10,DST
"Bengals, CIN",0.6,0.0,2.2,46.1,0.8,1.1,0.06,20.6,228.0,136.0,364,9,DST
"Raiders, OAK",1.0,0.0,2.1,44.3,1.1,1.5,0.12,22.2,270.0,93.0,363,9,DST
"Titans, TEN",1.1,0.0,2.9,36.8,0.6,0.8,0.11,21.5,230.0,95.0,325,8,DST
"Redskins, WAS",1.0,0.0,1.8,46.0,1.1,1.5,0.11,26.1,272.0,109.0,381,8,DST
"Falcons, ATL",1.1,0.0,1.3,45.5,0.6,0.8,0.32,26.9,234.0,125.0,359,8,DST
"Lions, DET",0.7,0.0,2.7,46.7,0.7,1.0,0.17,24.3,237.0,117.0,354,8,DST
"Bears, CHI",1.2,0.0,2.6,44.4,0.8,1.1,0.24,28.4,275.0,99.0,374,8,DST
"Cowboys, DAL",0.7,0.0,2.0,42.5,0.7,1.0,0.05,22.6,244.0,107.0,351,7,DST
"Chargers, LAC",0.7,0.1,1.4,41.3,0.7,0.9,0.1,26.2,247.0,109.0,356,7,DST
"Jets, NYJ",0.8,0.0,2.4,43.2,0.6,0.8,0.06,27.1,303.0,98.0,401,5,DST
"Browns, CLE",0.6,0.0,1.9,43.5,0.7,1.0,0.12,27.9,256.0,112.0,368,5,DST
