Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Adam Vinatieri, Ind K",SF,W 26-23,--/--,--/--,--/--,--/--,--/--,--,K
"Phil Dawson, Ari K",@Phi,L 7-34,--/--,--/--,--/--,--/--,--/--,--,K
"Sebastian Janikowski, Oak K",Bal,L 17-30,--/--,--/--,--/--,--/--,--/--,--,K
"Shayne Graham, Atl K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Billy Cundiff, Cle K",NYJ,L 14-17,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Bryant, Atl K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Josh Brown, NYG K",LAC,L 22-27,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Scobee, NO K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Mike Nugent, Chi K",Min,L 17-20,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Novak, LAC K",@NYG,W 27-22,--/--,--/--,--/--,--/--,--/--,--,K
"Robbie Gould, SF K",@Ind,L 23-26,--/--,--/--,--/--,--/--,--/--,--,K
"Shaun Suisham, Pit K",Jax,L 9-30,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Gostkowski, NE K",@TB,W 19-14,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Folk, TB K",NE,L 14-19,--/--,--/--,--/--,--/--,--/--,--,K
"Mason Crosby, GB K",@Dal,W 35-31,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Prater, Det K",Car,L 24-27,--/--,--/--,--/--,--/--,--/--,--,K
"Garrett Hartley, Pit K",Jax,L 9-30,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Carpenter, Buf K",@Cin,L 16-20,--/--,--/--,--/--,--/--,--/--,--,K
"Connor Barth, Chi K",Min,L 17-20,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Hauschka, Buf K",@Cin,L 16-20,--/--,--/--,--/--,--/--,--/--,--,K
"Graham Gano, Car K",@Det,W 27-24,--/--,--/--,--/--,--/--,--/--,--,K
"Ryan Succop, Ten K",@Mia,L 10-16,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Bailey, Dal K",GB,L 31-35,--/--,--/--,--/--,--/--,--/--,--,K
"Kai Forbath, Min K",@Chi,W 20-17,--/--,--/--,--/--,--/--,--/--,--,K
"Greg Zuerlein, LAR K",Sea,L 10-16,--/--,--/--,--/--,--/--,--/--,--,K
"Blair Walsh, Sea K",@LAR,W 16-10,--/--,--/--,--/--,--/--,--/--,--,K
"Randy Bullock, Cin K",Buf,W 20-16,--/--,--/--,--/--,--/--,--/--,--,K
"Giorgio Tavecchio, Oak K",Bal,L 17-30,--/--,--/--,--/--,--/--,--/--,--,K
"Justin Tucker, Bal K",@Oak,W 30-17,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon Bogotay, TB K",NE,L 14-19,--/--,--/--,--/--,--/--,--/--,--,K
"Caleb Sturgis, LAC K",@NYG,W 27-22,--/--,--/--,--/--,--/--,--/--,--,K
"Dustin Hopkins, Wsh K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Zach Hocker, TB K",NE,L 14-19,--/--,--/--,--/--,--/--,--/--,--,K
"Travis Coons, LAC K",@NYG,W 27-22,--/--,--/--,--/--,--/--,--/--,--,K
"Chandler Catanzaro, TB K",NE,L 14-19,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon McManus, Den K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Cairo Santos, NYJ K",@Cle,W 17-14,--/--,--/--,--/--,--/--,--/--,--,K
"Cody Parkey, Chi K",Min,L 17-20,--/--,--/--,--/--,--/--,--/--,--,K
"Chris Boswell, Pit K",Jax,L 9-30,--/--,--/--,--/--,--/--,--/--,--,K
"Kasey Redfern, Det K",Car,L 24-27,--/--,--/--,--/--,--/--,--/--,--,K
"Patrick Murray, TB K",NE,L 14-19,--/--,--/--,--/--,--/--,--/--,--,K
"Jordan Gay, Ten K",@Mia,L 10-16,--/--,--/--,--/--,--/--,--/--,--,K
"Jason Myers, Sea K",@LAR,W 16-10,--/--,--/--,--/--,--/--,--/--,--,K
"Kyle Brindza, NYJ K",@Cle,W 17-14,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Lambo, Jax K",@Pit,W 30-9,--/--,--/--,--/--,--/--,--/--,--,K
"Andrew Franks, Mia K",Ten,W 16-10,--/--,--/--,--/--,--/--,--/--,--,K
"Roberto Aguayo, LAC K",@NYG,W 27-22,--/--,--/--,--/--,--/--,--/--,--,K
"Wil Lutz, NO K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Aldrick Rosas, NYG K",LAC,L 22-27,--/--,--/--,--/--,--/--,--/--,--,K
"Jake Elliott, Phi K",Ari,W 34-7,--/--,--/--,--/--,--/--,--/--,--,K
"Zane Gonzalez, Cle K",NYJ,L 14-17,--/--,--/--,--/--,--/--,--/--,--,K
"Harrison Butker, KC K",@Hou,W 42-34,--/--,--/--,--/--,--/--,--/--,--,K
"Younghoe Koo, LAC K",@NYG,W 27-22,--/--,--/--,--/--,--/--,--/--,--,K
"Ka'imi Fairbairn, Hou K",KC,L 34-42,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Rose, LAC K",@NYG,W 27-22,--/--,--/--,--/--,--/--,--/--,--,K
"Sam Ficken, LAR K",Sea,L 10-16,--/--,--/--,--/--,--/--,--/--,--,K
