Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,Team Def 2pt Ret,POS
New York Jets,NYJ,16.0,28.0,11.0,9.0,9.0,0.0,0.0,0.0,854.0,0.0,368.0,0.0,1.0,0.0,4.0,6.0,4.0,1.0,5636.0,0.0,4.0,7.0,4.0,1.0,0.0,0.0,DST
Detroit Lions,DET,16.0,35.0,19.0,13.0,16.0,0.0,5.0,3.0,1100.0,2.0,346.0,0.0,0.0,4.0,3.0,5.0,3.0,1.0,5692.0,0.0,3.0,9.0,4.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,16.0,37.0,11.0,11.0,10.0,0.0,2.0,1.0,1050.0,0.0,372.0,0.0,0.0,1.0,5.0,4.0,5.0,1.0,5582.0,0.0,3.0,9.0,2.0,2.0,0.0,0.0,DST
Carolina Panthers,CAR,16.0,50.0,10.0,11.0,15.0,0.0,1.0,1.0,1078.0,2.0,315.0,0.0,4.0,0.0,2.0,6.0,4.0,0.0,5074.0,2.0,3.0,10.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,16.0,42.0,12.0,6.0,9.0,2.0,0.0,3.0,885.0,1.0,278.0,0.0,2.0,5.0,4.0,3.0,1.0,1.0,5856.0,0.0,3.0,6.0,6.0,0.0,1.0,0.0,DST
Oakland Raiders,OAK,16.0,31.0,5.0,9.0,12.0,0.0,0.0,2.0,893.0,0.0,343.0,0.0,0.0,1.0,8.0,4.0,3.0,0.0,5601.0,0.0,5.0,6.0,3.0,2.0,0.0,0.0,DST
Los Angeles Rams,LA,16.0,48.0,18.0,10.0,17.0,2.0,5.0,5.0,1459.0,1.0,317.0,1.0,0.0,3.0,6.0,2.0,2.0,2.0,5432.0,2.0,3.0,6.0,2.0,3.0,0.0,0.0,DST
Baltimore Ravens,BAL,16.0,41.0,22.0,12.0,16.0,0.0,5.0,1.0,1258.0,2.0,291.0,3.0,0.0,2.0,4.0,5.0,0.0,2.0,5201.0,1.0,6.0,7.0,1.0,0.0,1.0,0.0,DST
Washington Redskins,WAS,16.0,42.0,16.0,7.0,12.0,0.0,2.0,1.0,851.0,0.0,362.0,0.0,1.0,3.0,3.0,4.0,3.0,2.0,5566.0,2.0,2.0,7.0,3.0,1.0,1.0,0.0,DST
New Orleans Saints,NO,16.0,42.0,20.0,5.0,17.0,0.0,4.0,1.0,1043.0,1.0,314.0,1.0,0.0,5.0,3.0,3.0,3.0,1.0,5384.0,2.0,5.0,4.0,1.0,3.0,1.0,0.0,DST
Seattle Seahawks,SEA,16.0,39.0,14.0,11.0,13.0,2.0,4.0,1.0,1241.0,1.0,322.0,0.0,0.0,6.0,4.0,1.0,3.0,2.0,5171.0,1.0,8.0,3.0,3.0,0.0,1.0,0.0,DST
Pittsburgh Steelers,PIT,16.0,56.0,16.0,6.0,12.0,1.0,1.0,2.0,837.0,1.0,296.0,0.0,1.0,3.0,7.0,3.0,1.0,1.0,4910.0,1.0,6.0,7.0,1.0,1.0,0.0,0.0,DST
Houston Texans,HOU,16.0,32.0,11.0,5.0,13.0,1.0,4.0,0.0,854.0,0.0,416.0,0.0,0.0,2.0,3.0,5.0,2.0,4.0,5546.0,1.0,6.0,4.0,2.0,3.0,0.0,0.0,DST
Tennessee Titans,TEN,16.0,43.0,12.0,9.0,11.0,0.0,1.0,0.0,923.0,0.0,332.0,0.0,1.0,4.0,5.0,4.0,0.0,2.0,5248.0,1.0,5.0,6.0,4.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,16.0,37.0,14.0,5.0,8.0,1.0,1.0,0.0,991.0,0.0,250.0,1.0,0.0,5.0,6.0,2.0,2.0,0.0,4415.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,DST
