Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,500+ Yds Allow,Team Def 2pt Ret,POS
San Francisco 49ers,SF,16.0,30.0,10.0,10.0,17.0,0.0,1.0,0.0,874.0,0.0,375.0,0.0,0.0,2.0,4.0,7.0,1.0,2.0,5625.0,1.0,2.0,8.0,3.0,1.0,1.0,0.0,DST
Chicago Bears,CHI,16.0,42.0,8.0,14.0,14.0,1.0,3.0,1.0,1306.0,2.0,306.0,0.0,2.0,1.0,5.0,6.0,1.0,1.0,5106.0,0.0,7.0,8.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,16.0,41.0,11.0,3.0,4.0,0.0,3.0,2.0,1079.0,0.0,343.0,0.0,0.0,2.0,5.0,6.0,3.0,0.0,5425.0,0.0,5.0,6.0,4.0,1.0,0.0,0.0,DST
Buffalo Bills,BUF,16.0,27.0,18.0,7.0,16.0,0.0,3.0,0.0,853.0,0.0,347.0,0.0,0.0,4.0,6.0,2.0,1.0,3.0,5682.0,0.0,4.0,7.0,4.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,16.0,33.0,10.0,7.0,8.0,0.0,4.0,3.0,1119.0,0.0,354.0,1.0,0.0,2.0,3.0,8.0,0.0,2.0,4640.0,2.0,8.0,5.0,1.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,16.0,34.0,7.0,6.0,14.0,0.0,1.0,2.0,1011.0,0.0,384.0,0.0,0.0,2.0,3.0,5.0,6.0,0.0,5250.0,0.0,5.0,10.0,1.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,16.0,22.0,13.0,13.0,18.0,0.0,4.0,3.0,624.0,0.0,376.0,0.0,0.0,2.0,4.0,5.0,4.0,1.0,6049.0,0.0,4.0,3.0,7.0,1.0,1.0,0.0,DST
Arizona Cardinals,ARI,16.0,37.0,15.0,6.0,17.0,0.0,2.0,0.0,880.0,0.0,335.0,1.0,0.0,3.0,4.0,3.0,5.0,0.0,4975.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,16.0,43.0,18.0,9.0,13.0,0.0,3.0,1.0,733.0,1.0,262.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,5254.0,0.0,6.0,8.0,1.0,1.0,0.0,0.0,DST
Kansas City Chiefs,KC,16.0,31.0,16.0,10.0,12.0,0.0,3.0,1.0,1271.0,1.0,331.0,0.0,0.0,4.0,7.0,1.0,3.0,1.0,5842.0,0.0,2.0,10.0,2.0,1.0,1.0,0.0,DST
Indianapolis Colts,IND,16.0,25.0,13.0,7.0,11.0,2.0,1.0,3.0,752.0,0.0,366.0,0.0,0.0,3.0,4.0,4.0,4.0,1.0,5873.0,0.0,4.0,6.0,2.0,3.0,1.0,0.0,DST
Dallas Cowboys,DAL,16.0,38.0,10.0,11.0,20.0,0.0,1.0,1.0,895.0,1.0,302.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,5089.0,1.0,6.0,7.0,1.0,0.0,1.0,0.0,DST
Miami Dolphins,MIA,16.0,30.0,9.0,6.0,9.0,2.0,3.0,3.0,1105.0,0.0,370.0,0.0,1.0,1.0,5.0,4.0,3.0,2.0,5371.0,1.0,4.0,8.0,2.0,0.0,1.0,0.0,DST
Philadelphia Eagles,PHI,16.0,38.0,19.0,12.0,14.0,0.0,5.0,5.0,613.0,0.0,283.0,0.0,2.0,5.0,1.0,6.0,1.0,1.0,4904.0,1.0,5.0,7.0,2.0,0.0,1.0,0.0,DST
Atlanta Falcons,ATL,16.0,39.0,8.0,8.0,12.0,0.0,2.0,0.0,1072.0,0.0,303.0,0.0,0.0,2.0,9.0,4.0,1.0,0.0,5094.0,0.0,5.0,10.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,16.0,27.0,13.0,6.0,12.0,1.0,2.0,1.0,757.0,0.0,382.0,0.0,0.0,3.0,3.0,6.0,3.0,1.0,5971.0,1.0,2.0,6.0,4.0,3.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,16.0,55.0,21.0,12.0,17.0,0.0,7.0,2.0,876.0,1.0,262.0,1.0,0.0,7.0,2.0,4.0,0.0,2.0,4578.0,4.0,5.0,5.0,1.0,1.0,0.0,1.0,DST
