Player,Int,Sty,Sack,TK,DFR,FF,DTD,Pa,PaNetA,RuYdA,TyDa,FPTS,POS
"Cardinals, ARI",16,0,43,651,15,20,5,318,3177,1529,4706,231,DST
"Broncos, DEN",15,0,40,636,16,23,5,287,2830,1702,4532,228,DST
"Texans, HOU",18,0,38,650,12,16,5,305,3123,1661,4784,224,DST
"Ravens, BAL",15,0,38,671,13,18,5,289,3205,1499,4704,220,DST
"Seahawks, SEA",14,0,40,645,12,16,4,280,3269,1401,4670,212,DST
"Vikings, MIN",16,1,42,665,15,21,5,314,3505,1717,5222,200,DST
"Chiefs, KC",18,0,27,664,15,21,5,301,3565,1864,5429,187,DST
"Steelers, PIT",14,0,39,685,15,21,4,298,3491,1607,5098,185,DST
"Giants, NYG",16,0,30,666,13,18,5,306,3630,1533,5163,182,DST
"Patriots, NE",15,0,36,642,13,18,4,260,3260,1631,4891,180,DST
"Bengals, CIN",15,0,36,682,9,12,5,294,3368,1847,5215,178,DST
"Cowboys, DAL",12,0,34,700,14,19,4,329,3643,1675,5318,174,DST
"Panthers, CAR",15,1,43,693,15,21,4,350,3633,1624,5257,161,DST
"Eagles, PHI",17,0,34,659,15,21,5,352,3721,1789,5510,160,DST
"Chargers, LAC",15,0,38,656,14,19,5,418,3418,1813,5231,158,DST
"Buccaneers, TB",15,1,39,690,15,21,4,380,3986,1810,5796,157,DST
"Titans, TEN",17,0,40,656,10,14,5,348,3519,1589,5108,156,DST
"Raiders, OAK",16,0,29,651,16,22,5,359,3716,1791,5507,155,DST
"Packers, GB",15,1,35,627,10,13,5,342,3803,1555,5358,149,DST
"Colts, IND",15,0,34,672,13,18,4,375,3561,1991,5552,146,DST
"Dolphins, MIA",15,0,31,700,11,15,5,380,3844,2121,5965,145,DST
"Rams, LAR",14,0,40,715,13,17,3,353,3388,1766,5154,144,DST
"Jaguars, JAC",14,0,38,667,11,15,4,390,3301,1514,4815,144,DST
"Redskins, WAS",13,0,34,687,14,19,4,373,3682,1932,5614,144,DST
"Saints, NO",12,0,30,691,15,21,4,442,4263,1930,6193,140,DST
"Bills, BUF",14,0,35,677,10,14,4,385,4093,1851,5944,139,DST
"Falcons, ATL",14,0,29,703,12,17,4,368,3787,1962,5749,137,DST
"Lions, DET",11,1,33,733,11,15,4,376,3978,1867,5845,135,DST
"Bears, CHI",11,0,40,645,8,11,4,393,3531,1717,5248,134,DST
"Jets, NYJ",12,0,31,658,11,16,4,386,3808,1524,5332,133,DST
"Browns, CLE",15,0,33,683,9,12,3,379,3883,1829,5712,131,DST
