Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Adam Vinatieri, Ind K",Cle,W 31-28,--/--,--/--,--/--,--/--,--/--,--,K
"Phil Dawson, Ari K",Dal,L 17-28,--/--,--/--,--/--,--/--,--/--,--,K
"Sebastian Janikowski, Oak K",@Wsh,L 10-27,--/--,--/--,--/--,--/--,--/--,--,K
"Shayne Graham, Atl K",@Det,W 30-26,--/--,--/--,--/--,--/--,--/--,--,K
"Billy Cundiff, Cle K",@Ind,L 28-31,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Bryant, Atl K",@Det,W 30-26,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Brown, NYG K",@Phi,L 24-27,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Scobee, NO K",@Car,W 34-13,--/--,--/--,--/--,--/--,--/--,--,K
"Mike Nugent, Chi K",Pit,W 23-17,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Novak, LAC K",KC,L 10-24,--/--,--/--,--/--,--/--,--/--,--,K
"Robbie Gould, SF K",LAR,L 39-41,--/--,--/--,--/--,--/--,--/--,--,K
"Shaun Suisham, Pit K",@Chi,L 17-23,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Gostkowski, NE K",Hou,W 36-33,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Folk, TB K",@Min,L 17-34,--/--,--/--,--/--,--/--,--/--,--,K
"Mason Crosby, GB K",Cin,W 27-24,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Prater, Det K",Atl,L 26-30,--/--,--/--,--/--,--/--,--/--,--,K
"Garrett Hartley, Pit K",@Chi,L 17-23,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Carpenter, Buf K",Den,W 26-16,--/--,--/--,--/--,--/--,--/--,--,K
"Connor Barth, Chi K",Pit,W 23-17,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Hauschka, Buf K",Den,W 26-16,--/--,--/--,--/--,--/--,--/--,--,K
"Graham Gano, Car K",NO,L 13-34,--/--,--/--,--/--,--/--,--/--,--,K
"Ryan Succop, Ten K",Sea,W 33-27,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Bailey, Dal K",@Ari,W 28-17,--/--,--/--,--/--,--/--,--/--,--,K
"Kai Forbath, Min K",TB,W 34-17,--/--,--/--,--/--,--/--,--/--,--,K
"Greg Zuerlein, LAR K",@SF,W 41-39,--/--,--/--,--/--,--/--,--/--,--,K
"Blair Walsh, Sea K",@Ten,L 27-33,--/--,--/--,--/--,--/--,--/--,--,K
"Randy Bullock, Cin K",@GB,L 24-27,--/--,--/--,--/--,--/--,--/--,--,K
"Giorgio Tavecchio, Oak K",@Wsh,L 10-27,--/--,--/--,--/--,--/--,--/--,--,K
"Justin Tucker, Bal K",@Jax,L 7-44,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon Bogotay, TB K",@Min,L 17-34,--/--,--/--,--/--,--/--,--/--,--,K
"Caleb Sturgis, LAC K",KC,L 10-24,--/--,--/--,--/--,--/--,--/--,--,K
"Dustin Hopkins, Wsh K",Oak,W 27-10,--/--,--/--,--/--,--/--,--/--,--,K
"Zach Hocker, TB K",@Min,L 17-34,--/--,--/--,--/--,--/--,--/--,--,K
"Travis Coons, LAC K",KC,L 10-24,--/--,--/--,--/--,--/--,--/--,--,K
"Chandler Catanzaro, TB K",@Min,L 17-34,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon McManus, Den K",@Buf,L 16-26,--/--,--/--,--/--,--/--,--/--,--,K
"Cairo Santos, NYJ K",Mia,W 20-6,--/--,--/--,--/--,--/--,--/--,--,K
"Cody Parkey, Chi K",Pit,W 23-17,--/--,--/--,--/--,--/--,--/--,--,K
"Chris Boswell, Pit K",@Chi,L 17-23,--/--,--/--,--/--,--/--,--/--,--,K
"Kasey Redfern, Det K",Atl,L 26-30,--/--,--/--,--/--,--/--,--/--,--,K
"Patrick Murray, TB K",@Min,L 17-34,--/--,--/--,--/--,--/--,--/--,--,K
"Jordan Gay, Ten K",Sea,W 33-27,--/--,--/--,--/--,--/--,--/--,--,K
"Jason Myers, Sea K",@Ten,L 27-33,--/--,--/--,--/--,--/--,--/--,--,K
"Kyle Brindza, NYJ K",Mia,W 20-6,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Lambo, Jax K",Bal,W 44-7,--/--,--/--,--/--,--/--,--/--,--,K
"Andrew Franks, Mia K",@NYJ,L 6-20,--/--,--/--,--/--,--/--,--/--,--,K
"Roberto Aguayo, LAC K",KC,L 10-24,--/--,--/--,--/--,--/--,--/--,--,K
"Wil Lutz, NO K",@Car,W 34-13,--/--,--/--,--/--,--/--,--/--,--,K
"Aldrick Rosas, NYG K",@Phi,L 24-27,--/--,--/--,--/--,--/--,--/--,--,K
"Jake Elliott, Phi K",NYG,W 27-24,--/--,--/--,--/--,--/--,--/--,--,K
"Zane Gonzalez, Cle K",@Ind,L 28-31,--/--,--/--,--/--,--/--,--/--,--,K
"Harrison Butker, KC K",@LAC,W 24-10,--/--,--/--,--/--,--/--,--/--,--,K
"Younghoe Koo, LAC K",KC,L 10-24,--/--,--/--,--/--,--/--,--/--,--,K
"Ka'imi Fairbairn, Hou K",@NE,L 33-36,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Rose, LAC K",KC,L 10-24,--/--,--/--,--/--,--/--,--/--,--,K
"Sam Ficken, LAR K",@SF,W 41-39,--/--,--/--,--/--,--/--,--/--,--,K
