Player,Team,GP,Sack,Int,Fum Rec,Saf,TD,Block,Return TD,Pts Allow,POS
San Francisco 49ers,SF,1.0,2.11,0.88,0.54,0.04,0.1,0.09,0.06,19.95,DST
Chicago Bears,CHI,1.0,2.6,0.88,0.62,0.04,0.1,0.08,0.08,16.85,DST
Cincinnati Bengals,CIN,1.0,1.7,0.77,0.63,0.04,0.11,0.08,0.01,23.88,DST
Buffalo Bills,BUF,1.0,2.59,0.85,0.61,0.08,0.1,0.07,0.02,25.36,DST
Cleveland Browns,CLE,1.0,2.23,0.75,0.65,0.03,0.09,0.09,0.01,23.94,DST
Tampa Bay Buccaneers,TB,1.0,2.08,0.76,0.68,0.03,0.11,0.09,0.03,21.79,DST
Arizona Cardinals,ARI,1.0,1.84,0.66,0.69,0.02,0.09,0.08,0.0,26.37,DST
Los Angeles Chargers,LAC,1.0,2.12,0.93,0.61,0.03,0.09,0.07,0.03,17.49,DST
Kansas City Chiefs,KC,1.0,2.58,1.17,0.59,0.05,0.11,0.08,0.07,16.46,DST
Indianapolis Colts,IND,1.0,2.16,1.04,0.65,0.03,0.1,0.08,0.03,23.18,DST
Dallas Cowboys,DAL,1.0,2.3,0.74,0.66,0.03,0.1,0.07,0.02,24.44,DST
Miami Dolphins,MIA,1.0,2.1,0.82,0.51,0.03,0.1,0.12,0.01,24.32,DST
Philadelphia Eagles,PHI,1.0,2.7,0.89,0.72,0.05,0.1,0.08,0.02,19.28,DST
Atlanta Falcons,ATL,1.0,2.6,0.92,0.67,0.04,0.1,0.07,0.02,22.95,DST
New York Giants,NYG,1.0,2.24,0.74,0.73,0.03,0.09,0.08,0.04,24.64,DST
Jacksonville Jaguars,JAX,1.0,2.1,0.98,0.65,0.02,0.09,0.08,0.02,24.02,DST
New York Jets,NYJ,1.0,1.95,1.33,0.69,0.03,0.1,0.07,0.01,17.95,DST
Detroit Lions,DET,1.0,2.5,0.79,0.63,0.03,0.09,0.09,0.0,24.8,DST
Green Bay Packers,GB,1.0,2.18,1.05,0.56,0.03,0.1,0.1,0.02,20.3,DST
Carolina Panthers,CAR,1.0,1.92,0.75,0.74,0.03,0.1,0.09,0.0,24.69,DST
New England Patriots,NE,1.0,2.5,0.96,0.59,0.04,0.1,0.09,0.01,20.1,DST
Oakland Raiders,OAK,1.0,1.46,0.61,0.69,0.03,0.1,0.08,0.01,24.12,DST
Los Angeles Rams,LA,1.0,2.79,0.99,0.6,0.05,0.09,0.12,0.02,18.92,DST
Washington Redskins,WAS,1.0,2.11,1.06,0.6,0.02,0.1,0.08,0.0,24.62,DST
New Orleans Saints,NO,1.0,2.35,1.0,0.62,0.03,0.1,0.1,0.03,21.19,DST
Seattle Seahawks,SEA,1.0,2.11,0.82,0.7,0.03,0.09,0.07,0.01,23.71,DST
Pittsburgh Steelers,PIT,1.0,2.58,0.83,0.61,0.03,0.09,0.11,0.02,19.69,DST
Tennessee Titans,TEN,1.0,1.81,0.75,0.59,0.03,0.1,0.06,0.02,23.05,DST
