Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
New York Jets,DST,NYJ,14.9,249,2.1,0.8,2.6,0.0,0.44
Green Bay Packers,DST,GB,18.4,288,1.0,0.8,2.5,0.0,0.29
Kansas City Chiefs,DST,KC,17.2,317,1.4,0.9,2.1,0.0,0.37
Chicago Bears,DST,CHI,20.3,337,0.6,1.1,3.0,0.0,0.27
Los Angeles Chargers,DST,LAC,15.7,338,0.9,0.8,2.5,0.0,0.29
Los Angeles Rams,DST,LAR,20.0,342,0.9,0.8,2.6,0.0,0.24
Philadelphia Eagles,DST,PHI,18.5,338,0.8,0.9,2.5,0.0,0.25
New England Patriots,DST,NE,17.8,314,0.8,0.7,2.4,0.0,0.3
Jacksonville Jaguars,DST,JAX,26.6,339,1.1,0.9,3.2,0.1,0.28
Washington Redskins,DST,WAS,22.7,378,1.5,0.9,2.2,0.0,0.31
New York Giants,DST,NYG,25.3,358,1.2,1.0,2.4,0.0,0.29
Atlanta Falcons,DST,ATL,21.5,368,0.9,0.9,3.1,0.1,0.27
Seattle Seahawks,DST,SEA,26.2,385,0.9,1.1,2.2,0.2,0.27
Dallas Cowboys,DST,DAL,24.1,337,0.6,1.4,2.6,0.0,0.24
Detroit Lions,DST,DET,26.2,354,0.6,0.9,2.8,0.1,0.25
Indianapolis Colts,DST,IND,21.4,363,0.9,1.1,1.6,0.0,0.29
New Orleans Saints,DST,NO,23.0,344,1.0,0.6,2.1,0.0,0.3
San Francisco 49ers,DST,SF,21.7,351,0.8,0.7,2.6,0.0,0.24
Pittsburgh Steelers,DST,PIT,23.6,361,0.9,0.6,2.2,0.0,0.24
Buffalo Bills,DST,BUF,28.5,328,1.0,1.1,2.5,0.0,0.23
Tampa Bay Buccaneers,DST,TB,21.5,371,0.4,1.1,1.6,0.0,0.21
Cleveland Browns,DST,CLE,26.9,397,0.7,0.6,1.8,0.0,0.19
Carolina Panthers,DST,CAR,29.1,400,1.0,0.8,2.0,0.1,0.26
Miami Dolphins,DST,MIA,30.6,430,0.7,0.8,2.2,0.0,0.26
Tennessee Titans,DST,TEN,27.2,389,0.7,0.8,1.7,0.0,0.21
Arizona Cardinals,DST,ARI,32.3,386,0.7,0.5,2.0,0.0,0.18
Cincinnati Bengals,DST,CIN,32.6,419,0.5,0.6,1.2,0.0,0.18
