Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Tom Brady, NE QB",Car,L 30-33,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Mike Vick, Pit QB",@Bal,W 26-9,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Drew Brees, NO QB",@Mia,W 20-0,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Josh McCown, NYJ QB",Jax,W 23-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Shaun Hill, Min QB",Det,L 7-14,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Carson Palmer, Ari QB",SF,W 18-15,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Tony Romo, Dal QB",LAR,L 30-35,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Eli Manning, NYG QB",@TB,L 23-25,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Philip Rivers, LAC QB",Phi,L 24-26,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ben Roethlisberger, Pit QB",@Bal,W 26-9,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Schaub, Atl QB",Buf,L 17-23,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Luke McCown, Dal QB",LAR,L 30-35,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Alex Smith, Wsh QB",@KC,L 20-29,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Aaron Rodgers, GB QB",Chi,W 35-14,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Dan Orlovsky, LAR QB",@Dal,W 35-30,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Derek Anderson, Car QB",@NE,W 33-30,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Cassel, Det QB",@Min,W 14-7,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Ryan Fitzpatrick, TB QB",NYG,W 25-23,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Jay Cutler, Mia QB",NO,L 0-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Kellen Clemens, LAC QB",Phi,L 24-26,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Tarvaris Jackson, Sea QB",Ind,W 46-18,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Charlie Whitehurst, Cle QB",Cin,L 7-31,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Bruce Gradkowski, Pit QB",@Bal,W 26-9,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Drew Stanton, Cle QB",Cin,L 7-31,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Moore, Mia QB",NO,L 0-20,--/--,--,--,--,--,--,--,--,--,--,--,QB
"Matt Ryan, Atl QB",Buf,L 17-23,--/--,--,--,--,--,--,--,--,--,--,--,QB
