Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,Team Def 2pt Ret,POS
San Francisco 49ers,SF,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,404.0,0.0,0.0,1.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,44.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,323.0,0.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,254.0,1.0,0.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,460.0,0.0,0.0,0.0,1.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,253.0,1.0,0.0,0.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,360.0,0.0,1.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,294.0,1.0,0.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,35.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,314.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,272.0,1.0,0.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,244.0,1.0,0.0,0.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,36.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,316.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,31.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,260.0,1.0,0.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,96.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,300.0,0.0,1.0,0.0,0.0,1.0,DST
Philadelphia Eagles,PHI,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,70.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,334.0,0.0,1.0,0.0,0.0,0.0,DST
Atlanta Falcons,ATL,1.0,3.0,2.0,3.0,2.0,0.0,2.0,0.0,16.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,312.0,0.0,1.0,0.0,0.0,0.0,DST
New York Giants,NYG,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,66.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,260.0,1.0,0.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,70.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,377.0,0.0,1.0,0.0,0.0,0.0,DST
New York Jets,NYJ,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,364.0,0.0,1.0,0.0,0.0,0.0,DST
Detroit Lions,DET,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,296.0,1.0,0.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,36.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,354.0,0.0,1.0,0.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,70.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,278.0,1.0,0.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,63.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,348.0,0.0,1.0,0.0,0.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,54.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,323.0,0.0,1.0,0.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0,286.0,1.0,0.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,52.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,496.0,0.0,0.0,0.0,1.0,0.0,DST
Washington Redskins,WAS,1.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,98.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,383.0,0.0,1.0,0.0,0.0,0.0,DST
New Orleans Saints,NO,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,270.0,1.0,0.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,330.0,0.0,1.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,275.0,1.0,0.0,0.0,0.0,0.0,DST
Houston Texans,HOU,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,36.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,348.0,0.0,1.0,0.0,0.0,0.0,DST
Tennessee Titans,TEN,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,54.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,348.0,0.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,315.0,0.0,1.0,0.0,0.0,0.0,DST
