Player,Bye,Proj,Actual,Pts vs.*,Sack,Safe,TFL,Int,Fum Rec,TD,TD,Blk Kick,4 Dwn Stops,Yds Allow*,3 And Outs,Yds,TD,TD,POS
No new player Notes Los Angeles LAC - DEF Final (W) 26-21 vs Cin,8,78,78,16.0,3.5,0.0,5.8,1.1,0.7,0.3,0.0,0.0,0.9,299,3.8,127.0,0.3,0.0,DST
No new player Notes Tennessee Ten - DEF Final (W) 30-9 vs Jax,8,96,96,16.0,3.1,0.0,4.2,1.0,0.7,0.2,0.1,0.1,0.4,280,3.4,95.5,0.2,0.1,DST
No new player Notes Buffalo Buf - DEF Final (L) 27-23 vs NYJ,11,116,116,16.5,3.3,0.0,4.4,1.1,0.6,0.1,0.0,0.0,0.7,287,4.0,97.8,0.1,0.0,DST
No new player Notes New York NYG - DEF Final (W) 40-16 @ Was,9,119,119,19.5,2.6,0.0,3.4,1.0,0.6,0.2,0.1,0.1,0.9,286,3.7,90.2,0.2,0.1,DST
No new player Notes Denver Den - DEF Final (L) 20-14 @ SF,10,120,120,23.5,3.0,0.0,4.0,0.9,0.6,0.2,0.1,0.1,0.5,354,4.2,52.1,0.2,0.1,DST
No new player Notes New England NE - DEF Final (L) 34-33 @ Mia,11,123,123,20.3,3.3,0.1,5.3,1.0,0.7,0.2,0.0,0.1,0.9,353,4.3,94.2,0.2,0.0,DST
No new player Notes Seattle Sea - DEF Final (W) 21-7 vs Min,7,125,125,22.3,2.7,0.1,4.0,0.9,0.7,0.2,0.0,0.1,0.6,381,3.8,111.0,0.2,0.0,DST
No new player Notes Detroit Det - DEF Final (W) 17-3 @ Ari,6,133,133,18.8,2.8,0.0,3.8,1.0,0.7,0.1,0.0,0.1,0.5,325,3.0,81.7,0.1,0.0,DST
No new player Notes Arizona Ari - DEF Final (L) 17-3 vs Det,9,136,136,21.8,2.6,0.1,4.1,0.8,0.5,0.2,0.1,0.0,0.7,338,3.0,106.0,0.2,0.1,DST
No new player Notes Jacksonville Jax - DEF Final (L) 30-9 @ Ten,9,156,156,21.5,2.6,0.1,5.0,1.0,0.6,0.2,0.1,0.0,0.5,334,3.8,62.8,0.2,0.1,DST
No new player Notes Pittsburgh Pit - DEF Final (L) 24-21 @ Oak,7,163,163,20.5,2.9,0.1,4.5,0.9,0.6,0.2,0.0,0.1,0.8,355,2.7,83.5,0.2,0.0,DST
No new player Notes New York NYJ - DEF Final (W) 27-23 @ Buf,11,185,185,21.0,2.6,0.0,2.9,1.1,0.6,0.2,0.0,0.0,0.5,354,2.9,71.3,0.2,0.0,DST
No new player Notes New Orleans NO - DEF Final (W) 28-14 @ TB,6,188,188,22.3,2.8,0.0,3.8,0.9,0.5,0.1,0.1,0.0,0.5,401,3.1,77.8,0.1,0.1,DST
No new player Notes Houston Hou - DEF Final (L) 24-21 vs Ind,10,191,191,22.5,2.6,0.1,4.1,0.8,0.5,0.2,0.1,0.0,0.3,379,2.5,76.5,0.2,0.1,DST
Player Note Cleveland Cle - DEF Final (W) 26-20 vs Car,11,209,209,24.0,2.6,0.0,3.6,0.8,0.6,0.1,0.1,0.0,0.4,378,2.9,71.5,0.1,0.1,DST
No new player Notes Dallas Dal - DEF Final (W) 29-23 vs Phi,8,217,217,21.0,2.9,0.0,4.1,1.0,0.6,0.1,0.0,0.0,0.6,359,2.9,66.7,0.1,0.0,DST
No new player Notes Chicago Chi - DEF Final (W) 15-6 vs LAR,5,218,218,27.0,2.4,0.0,3.0,0.8,0.5,0.2,0.1,0.1,0.2,403,2.6,67.9,0.2,0.1,DST
No new player Notes Los Angeles LAR - DEF Final (L) 15-6 @ Chi,12,233,233,24.0,2.7,0.1,4.5,0.9,0.5,0.2,0.1,0.0,0.3,380,2.9,46.9,0.2,0.1,DST
No new player Notes Green Bay GB - DEF Final (W) 34-20 vs Atl,7,250,250,23.5,2.5,0.0,3.3,0.8,0.6,0.1,0.0,0.0,0.3,374,3.4,60.0,0.1,0.0,DST
No new player Notes Philadelphia Phi - DEF Final (L) 29-23 @ Dal,9,252,252,24.5,2.1,0.1,3.3,0.7,0.4,0.1,0.1,0.1,0.6,393,2.2,59.6,0.1,0.1,DST
No new player Notes Washington Was - DEF Final (L) 40-16 vs NYG,4,256,256,21.0,2.5,0.0,3.3,0.7,0.5,0.1,0.0,0.0,0.4,345,2.4,61.0,0.1,0.0,DST
No new player Notes Minnesota Min - DEF Final (L) 21-7 @ Sea,10,263,263,23.3,2.2,0.1,3.7,0.7,0.4,0.2,0.1,0.0,0.6,399,2.8,63.9,0.2,0.1,DST
No new player Notes Indianapolis Ind - DEF Final (W) 24-21 @ Hou,9,305,305,26.5,2.8,0.0,3.4,1.0,0.5,0.1,0.0,0.0,0.4,395,2.8,41.1,0.1,0.0,DST
No new player Notes San Francisco SF - DEF Final (W) 20-14 vs Den,11,306,306,22.0,2.8,0.0,3.7,0.9,0.6,0.1,0.0,0.0,0.4,384,3.9,35.9,0.1,0.0,DST
No new player Notes Atlanta Atl - DEF Final (L) 34-20 @ GB,8,319,319,27.0,2.2,0.0,3.3,0.7,0.5,0.1,0.0,0.0,0.3,366,2.5,59.8,0.1,0.0,DST
No new player Notes Kansas City KC - DEF Final (W) 27-24 vs Bal,12,320,320,21.5,2.5,0.0,3.3,0.9,0.5,0.1,0.0,0.0,0.8,344,2.9,44.4,0.1,0.0,DST
No new player Notes Carolina Car - DEF Final (L) 26-20 @ Cle,4,324,324,21.5,2.6,0.0,3.8,0.8,0.5,0.1,0.0,0.1,0.8,370,3.0,30.2,0.1,0.0,DST
No new player Notes Tampa Bay TB - DEF Final (L) 28-14 vs NO,5,372,372,31.8,2.2,0.0,3.0,0.6,0.5,0.1,0.1,0.1,0.5,469,2.0,77.4,0.1,0.1,DST
No new player Notes Miami Mia - DEF Final (W) 34-33 vs NE,11,384,384,29.3,1.9,0.0,2.0,0.8,0.4,0.1,0.0,0.0,0.3,418,2.1,53.8,0.1,0.0,DST
No new player Notes Cincinnati Cin - DEF Final (L) 26-21 @ LAC,9,437,437,32.5,1.8,0.0,2.6,0.6,0.4,0.1,0.0,0.0,0.4,466,1.9,56.6,0.1,0.0,DST
No new player Notes Baltimore Bal - DEF Final (L) 27-24 @ KC,10,438,438,28.0,2.1,0.1,3.2,0.7,0.5,0.2,0.0,0.0,0.6,430,2.6,46.4,0.2,0.0,DST
No new player Notes Oakland Oak - DEF Final (W) 24-21 vs Pit,7,514,514,30.5,2.0,0.1,2.7,0.6,0.5,0.1,0.0,0.0,0.2,437,2.2,28.5,0.1,0.0,DST
