Player,Team,GP,Rush Yds,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.03,1.09,10.11,0.07,TE
Mark Andrews,BAL,1.0,0.03,2.29,27.32,0.24,TE
Dan Arnold,NO,1.0,0.04,1.06,12.81,0.1,TE
Antony Auclair,TB,1.0,0.03,0.38,3.08,0.03,TE
Blake Bell,JAX,1.0,0.05,0.47,5.56,0.03,TE
Nick Boyle,BAL,1.0,0.06,1.93,17.64,0.1,TE
Cameron Brate,TB,1.0,0.06,3.18,35.64,0.25,TE
Ben Braunecker,CHI,1.0,0.11,0.74,6.84,0.07,TE
Daniel Brown,CHI,1.0,0.03,0.21,2.34,0.02,TE
Trey Burton,CHI,1.0,0.35,3.14,39.8,0.27,TE
Derek Carrier,OAK,1.0,0.02,0.33,3.25,0.03,TE
Garrett Celek,SF,1.0,0.03,0.43,4.03,0.04,TE
Orson Charles,CLE,1.0,0.02,0.21,1.69,0.02,TE
Tyler Conklin,MIN,1.0,0.01,0.32,2.62,0.04,TE
Jared Cook,OAK,1.0,0.06,3.62,43.91,0.31,TE
Jason Croom,BUF,1.0,0.08,1.7,21.09,0.1,TE
Alan Cross,TB,1.0,0.03,0.36,3.67,0.03,TE
Sean Culkin,LAC,1.0,0.05,0.0,0.0,0.01,TE
Vernon Davis,WAS,1.0,0.03,1.52,16.77,0.08,TE
Seth DeValve,CLE,1.0,0.02,0.43,4.72,0.04,TE
Ed Dickson,SEA,1.0,0.03,1.11,12.91,0.11,TE
Jack Doyle,IND,1.0,0.06,4.93,47.61,0.33,TE
Ross Dwelley,SF,1.0,0.04,0.28,2.92,0.03,TE
Eric Ebron,IND,1.0,1.67,2.93,34.62,0.25,TE
Rhett Ellison,NYG,1.0,0.11,1.55,15.24,0.1,TE
Evan Engram,NYG,1.0,0.76,3.0,25.28,0.17,TE
Zach Ertz,PHI,1.0,0.08,6.35,74.3,0.48,TE
Darren Fells,CLE,1.0,0.06,0.38,4.52,0.03,TE
Jordan Franks,CIN,1.0,0.04,0.64,7.0,0.05,TE
Antonio Gates,LAC,1.0,0.02,2.6,30.63,0.18,TE
Rico Gathers,DAL,1.0,0.03,0.44,6.09,0.06,TE
Mike Gesicki,MIA,1.0,0.02,1.24,14.57,0.09,TE
Dallas Goedert,PHI,1.0,0.04,1.21,14.78,0.08,TE
Jimmy Graham,GB,1.0,0.05,2.58,32.41,0.21,TE
Virgil Green,LAC,1.0,0.1,1.54,18.89,0.1,TE
Jermaine Gresham,ARI,1.0,0.06,1.3,14.63,0.08,TE
Ryan Griffin,HOU,1.0,0.06,2.03,22.98,0.13,TE
Xavier Grimble,PIT,1.0,0.03,0.38,3.14,0.04,TE
Rob Gronkowski,NE,1.0,0.09,3.96,57.16,0.36,TE
Clark Harris,CIN,1.0,0.03,0.06,1.58,0.02,TE
Chris Herndon,NYJ,1.0,0.06,2.43,30.35,0.24,TE
Jeff Heuerman,DEN,1.0,0.06,3.44,32.44,0.28,TE
Josh Hill,NO,1.0,0.32,2.32,25.98,0.17,TE
Jacob Hollister,NE,1.0,0.13,0.76,6.66,0.05,TE
Austin Hooper,ATL,1.0,0.09,3.89,38.55,0.21,TE
Hayden Hurst,BAL,1.0,0.63,0.99,12.67,0.12,TE
Jesse James,PIT,1.0,0.03,1.2,12.05,0.1,TE
Blake Jarwin,DAL,1.0,0.11,1.19,12.1,0.06,TE
Lance Kendricks,GB,1.0,0.02,1.16,10.41,0.08,TE
George Kittle,SF,1.0,0.16,6.23,79.5,0.49,TE
Ben Koyack,JAX,1.0,0.03,0.39,2.87,0.02,TE
Matt LaCosse,DEN,1.0,0.12,1.62,18.84,0.1,TE
Jordan Leggett,NYJ,1.0,0.03,0.6,7.36,0.05,TE
Matt Lengel,CIN,1.0,0.07,0.63,5.8,0.05,TE
Marcedes Lewis,GB,1.0,0.02,0.21,2.24,0.03,TE
Chris Manhertz,CAR,1.0,0.06,0.0,0.73,0.02,TE
Vance McDonald,PIT,1.0,0.14,4.22,47.63,0.35,TE
David Njoku,CLE,1.0,0.08,2.6,30.65,0.19,TE
Nick O'Leary,MIA,1.0,0.05,1.13,12.93,0.08,TE
James O'Shaughnessy,JAX,1.0,0.06,2.66,26.4,0.15,TE
Greg Olsen,CAR,1.0,0.07,3.96,49.01,0.38,TE
Brian Parker,DEN,1.0,0.03,0.2,2.66,0.03,TE
Logan Paulsen,ATL,1.0,0.03,0.65,4.51,0.04,TE
John Phillips,ARI,1.0,0.03,0.15,1.82,0.02,TE
MyCole Pruitt,TEN,1.0,0.02,0.15,1.54,0.02,TE
Jordan Reed,WAS,1.0,0.07,4.0,42.57,0.3,TE
Michael Roberts,DET,1.0,0.03,0.89,9.59,0.08,TE
Richard Rodgers,PHI,1.0,0.03,0.47,5.69,0.04,TE
Kyle Rudolph,MIN,1.0,0.04,3.57,34.53,0.21,TE
Eric Saubert,ATL,1.0,0.03,0.26,2.25,0.02,TE
Dalton Schultz,DAL,1.0,0.04,0.9,10.02,0.08,TE
Ricky Seals-Jones,ARI,1.0,0.03,2.37,27.91,0.15,TE
Scott Simonson,NYG,1.0,0.03,0.15,1.51,0.02,TE
Jonnu Smith,TEN,1.0,0.06,2.28,23.29,0.2,TE
Lee Smith,OAK,1.0,0.05,0.63,4.85,0.04,TE
Jeremy Sprinkle,WAS,1.0,0.03,0.17,1.19,0.01,TE
Luke Stocker,TEN,1.0,0.02,0.88,8.34,0.06,TE
Ian Thomas,CAR,1.0,0.03,0.3,3.15,0.03,TE
