Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Blake Bortles,JAX,1.0,50.0,31.0,19.0,329.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,34.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Sam Bradford,,1.0,31.0,22.0,9.0,286.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,44.0,29.0,15.0,263.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jacoby Brissett,IND,1.0,9.0,6.0,3.0,92.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,45.0,34.0,11.0,299.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,QB
Matt Cassel,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,46.0,28.0,18.0,364.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Andy Dalton,CIN,1.0,54.0,31.0,23.0,366.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Ryan Fitzpatrick,TB,1.0,34.0,24.0,10.0,374.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Joe Flacco,BAL,1.0,45.0,25.0,20.0,302.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Blaine Gabbert,TEN,1.0,36.0,17.0,19.0,243.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jimmy Garoppolo,SF,1.0,26.0,18.0,8.0,232.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brian Hoyer,NE,1.0,12.0,9.0,3.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Case Keenum,DEN,1.0,30.0,18.0,12.0,239.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
