Player,FG,FGA,XPT,FPTS,POS
Michael Badgley LAC,2.1,2.3,3.2,9.4,K
Stephen Gostkowski NE,2.1,2.4,3.0,9.3,K
Ka'imi Fairbairn HOU,2.2,2.5,2.7,9.3,K
Greg Zuerlein LAR,2.1,2.4,2.9,9.1,K
Brett Maher DAL,2.2,2.6,2.4,9.1,K
Wil Lutz NO,1.8,2.0,3.3,8.7,K
Harrison Butker KC,1.8,2.0,3.1,8.4,K
Sebastian Janikowski SEA,1.9,2.2,2.8,8.3,K
Mason Crosby GB,1.9,2.2,2.7,8.3,K
Brandon McManus DEN,1.8,2.1,2.7,8.0,K
Ryan Succop TEN,2.0,2.3,2.1,7.9,K
Greg Joseph CLE,1.8,2.1,2.5,7.9,K
Matt Bryant ATL,1.9,2.1,2.2,7.8,K
Justin Tucker BAL,1.8,2.0,2.3,7.8,K
Adam Vinatieri IND,1.8,2.1,2.3,7.7,K
Steven Hauschka BUF,1.8,2.0,2.1,7.6,K
Aldrick Rosas NYG,1.9,2.1,1.9,7.5,K
Cody Parkey CHI,1.6,1.9,2.5,7.2,K
Cairo Santos TB,1.6,1.8,2.3,7.2,K
Matt Prater DET,1.7,1.9,2.2,7.2,K
Dustin Hopkins WAS,1.8,2.0,1.9,7.2,K
Jake Elliott PHI,1.7,2.0,2.0,7.1,K
Jason Sanders MIA,1.7,1.9,2.0,7.1,K
Daniel Carlson OAK,1.7,2.1,2.0,7.1,K
Chandler Catanzaro CAR,1.5,2.0,2.5,7.0,K
Robbie Gould SF,1.5,1.7,2.3,6.9,K
Zane Gonzalez ARI,1.6,1.9,2.1,6.8,K
Dan Bailey MIN,1.5,1.9,2.2,6.6,K
Jason Myers NYJ,1.5,1.7,1.6,6.2,K
Josh Lambo JAC,1.5,1.7,1.7,6.1,K
Randy Bullock CIN,1.4,1.7,1.7,6.1,K
Matt McCrane PIT,0.0,0.0,0.0,0.0,K
Eddy Pineiro OAK,0.0,0.0,0.0,0.0,K
Sam Ficken SEA,0.0,0.0,0.0,0.0,K
Kai Forbath JAC,0.0,0.0,0.0,0.0,K
