Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Justin Tucker, Bal K",@KC,L 24-27,1.5/1.5,0.7/0.8,0.3/0.4,2.4/2.7,2.1/2.1,10.5,K
"Greg Zuerlein, LAR K",@Chi,L 6-15,1.4/1.4,0.6/0.8,0.3/0.4,2.3/2.6,2.6/2.7,10.3,K
"Ka'imi Fairbairn, Hou K",Ind,L 21-24,1.4/1.5,0.6/0.8,0.3/0.4,2.3/2.7,2.2/2.4,9.8,K
"Brett Maher, Dal K",Phi,W 29-23,1.3/1.4,0.6/0.8,0.2/0.4,2.1/2.5,2.4/2.6,9.3,K
"Wil Lutz, NO K",@TB,W 28-14,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,4/4.1,9.2,K
"Harrison Butker, KC K",Bal,W 27-24,1/1.1,0.5/0.6,0.2/0.3,1.7/2,3.3/3.5,9.2,K
"Stephen Gostkowski, NE K",@Mia,L 33-34,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.8/3,9.1,K
"Ryan Succop, Ten K",Jax,W 30-9,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,2/2.1,8.9,K
"Mason Crosby, GB K",Atl,W 34-20,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.3,2.5/2.8,8.5,K
"Mike Badgley, LAC K",Cin,W 26-21,0.9/1,0.4/0.6,0.2/0.3,1.6/1.9,3.3/3.5,8.5,K
"Cody Parkey, Chi K",LAR,W 15-6,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.6/2.9,8.1,K
"Daniel Carlson, Oak K",Pit,W 24-21,1.1/1.3,0.5/0.7,0.2/0.3,1.9/2.3,2/2.2,8,K
"Adam Vinatieri, Ind K",@Hou,W 24-21,1/1.1,0.5/0.6,0.2/0.3,1.7/1.9,2.5/2.6,8,K
"Stephen Hauschka, Buf K",NYJ,L 23-27,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,2.1/2.2,8,K
"Aldrick Rosas, NYG K",@Wsh,W 40-16,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,1.8/1.9,8,K
"Matt Prater, Det K",@Ari,W 17-3,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.1/2.2,7.9,K
"Robbie Gould, SF K",Den,W 20-14,1/1,0.5/0.6,0.2/0.3,1.7/1.9,2/2,7.8,K
"Sebastian Janikowski, Sea K Q",Min,W 21-7,0.9/1,0.4/0.6,0.2/0.3,1.6/1.9,2.5/2.7,7.7,K
"Matt Bryant, Atl K",@GB,L 20-34,1/1,0.5/0.5,0.2/0.3,1.6/1.8,2.1/2.1,7.7,K
"Cairo Santos, TB K",NO,L 14-28,0.9/1,0.4/0.5,0.2/0.3,1.5/1.7,2.5/2.7,7.4,K
"Brandon McManus, Den K",@SF,L 14-20,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,2.4/2.7,7.4,K
"Dustin Hopkins, Wsh K",NYG,L 16-40,1/1.1,0.5/0.6,0.2/0.3,1.6/2,1.9/2.1,7.4,K
"Jake Elliott, Phi K",@Dal,L 23-29,1/1.1,0.5/0.6,0.2/0.3,1.7/2,1.7/1.8,7.3,K
"Jason Sanders, Mia K",NE,W 34-33,0.9/1,0.4/0.6,0.2/0.3,1.5/1.9,2.1/2.2,7.2,K
"Dan Bailey, Min K",@Sea,L 7-21,1/1.1,0.5/0.6,0.2/0.3,1.6/2,1.9/2.1,7.1,K
"Greg Joseph, Cle K",Car,W 26-20,0.8/0.9,0.4/0.5,0.2/0.3,1.4/1.7,2.5/2.7,7.1,K
"Jason Myers, NYJ K",@Buf,W 27-23,1/1,0.5/0.6,0.2/0.3,1.6/1.9,1.3/1.3,6.8,K
