Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Adam Vinatieri, Ind K",@Hou,W 20-14,--/--,--/--,--/--,--/--,--/--,--,K
"Phil Dawson, Ari K",@SF,W 20-10,--/--,--/--,--/--,--/--,--/--,--,K
"Sebastian Janikowski, Oak K",@Mia,W 27-24,--/--,--/--,--/--,--/--,--/--,--,K
"Shayne Graham, Atl K",@Car,L 17-20,--/--,--/--,--/--,--/--,--/--,--,K
"Billy Cundiff, Cle K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Matt Bryant, Atl K",@Car,L 17-20,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Brown, NYG K",LAR,L 17-51,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Scobee, NO K",TB,W 30-10,--/--,--/--,--/--,--/--,--/--,--,K
"Mike Nugent, Chi K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Nick Novak, LAC K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Robbie Gould, SF K",Ari,L 10-20,--/--,--/--,--/--,--/--,--/--,--,K
"Shaun Suisham, Pit K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Stephen Gostkowski, NE K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Nick Folk, TB K",@NO,L 10-30,--/--,--/--,--/--,--/--,--/--,--,K
"Mason Crosby, GB K",Det,L 17-30,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Prater, Det K",@GB,W 30-17,--/--,--/--,--/--,--/--,--/--,--,K
"Garrett Hartley, Pit K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Dan Carpenter, Buf K",@NYJ,L 21-34,--/--,--/--,--/--,--/--,--/--,--,K
"Connor Barth, Chi K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Stephen Hauschka, Buf K",@NYJ,L 21-34,--/--,--/--,--/--,--/--,--/--,--,K
"Graham Gano, Car K",Atl,W 20-17,--/--,--/--,--/--,--/--,--/--,--,K
"Ryan Succop, Ten K",Bal,W 23-20,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Bailey, Dal K",KC,W 28-17,--/--,--/--,--/--,--/--,--/--,--,K
"Kai Forbath, Min K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Greg Zuerlein, LAR K",@NYG,W 51-17,--/--,--/--,--/--,--/--,--/--,--,K
"Blair Walsh, Sea K",Wsh,L 14-17,--/--,--/--,--/--,--/--,--/--,--,K
"Randy Bullock, Cin K",@Jax,L 7-23,--/--,--/--,--/--,--/--,--/--,--,K
"Giorgio Tavecchio, Oak K",@Mia,W 27-24,--/--,--/--,--/--,--/--,--/--,--,K
"Justin Tucker, Bal K",@Ten,L 20-23,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon Bogotay, TB K",@NO,L 10-30,--/--,--/--,--/--,--/--,--/--,--,K
"Caleb Sturgis, LAC K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Dustin Hopkins, Wsh K",@Sea,W 17-14,--/--,--/--,--/--,--/--,--/--,--,K
"Zach Hocker, TB K",@NO,L 10-30,--/--,--/--,--/--,--/--,--/--,--,K
"Travis Coons, LAC K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Chandler Catanzaro, TB K",@NO,L 10-30,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon McManus, Den K",@Phi,L 23-51,--/--,--/--,--/--,--/--,--/--,--,K
"Cairo Santos, NYJ K",Buf,W 34-21,--/--,--/--,--/--,--/--,--/--,--,K
"Cody Parkey, Chi K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Chris Boswell, Pit K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Kasey Redfern, Det K",@GB,W 30-17,--/--,--/--,--/--,--/--,--/--,--,K
"Patrick Murray, TB K",@NO,L 10-30,--/--,--/--,--/--,--/--,--/--,--,K
"Jordan Gay, Ten K",Bal,W 23-20,--/--,--/--,--/--,--/--,--/--,--,K
"Jason Myers, Sea K",Wsh,L 14-17,--/--,--/--,--/--,--/--,--/--,--,K
"Kyle Brindza, NYJ K",Buf,W 34-21,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Lambo, Jax K",Cin,W 23-7,--/--,--/--,--/--,--/--,--/--,--,K
"Andrew Franks, Mia K",Oak,L 24-27,--/--,--/--,--/--,--/--,--/--,--,K
"Roberto Aguayo, LAC K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Wil Lutz, NO K",TB,W 30-10,--/--,--/--,--/--,--/--,--/--,--,K
"Aldrick Rosas, NYG K",LAR,L 17-51,--/--,--/--,--/--,--/--,--/--,--,K
"Jake Elliott, Phi K",Den,W 51-23,--/--,--/--,--/--,--/--,--/--,--,K
"Zane Gonzalez, Cle K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Harrison Butker, KC K",@Dal,L 17-28,--/--,--/--,--/--,--/--,--/--,--,K
"Younghoe Koo, LAC K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Ka'imi Fairbairn, Hou K",Ind,L 14-20,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Rose, LAC K",** BYE **,--/--,--/--,--/--,--/--,--/--,--,,K
"Sam Ficken, LAR K",@NYG,W 51-17,--/--,--/--,--/--,--/--,--/--,--,K
