Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Josh Allen,QB,BUF,170,1,1,75,1
Patrick Mahomes,QB,KC,295,2,1,10,0
Ben Roethlisberger,QB,PIT,300,2,1,5,0
Deshaun Watson,QB,HOU,240,2,1,35,0
Mitchell Trubisky,QB,CHI,245,2,1,30,0
Jared Goff,QB,LAR,280,2,1,5,0
Tom Brady,QB,NE,275,2,0,5,0
Andrew Luck,QB,IND,260,2,0,10,0
Aaron Rodgers,QB,GB,240,2,1,20,0
Matt Ryan,QB,ATL,270,2,0,5,0
Dak Prescott,QB,DAL,245,2,1,15,0
Drew Brees,QB,NO,270,2,0,0,0
Russell Wilson,QB,SEA,230,2,1,20,0
Nick Foles,QB,PHI,255,2,1,5,0
Taylor Heinicke,QB,CAR,235,2,1,15,0
Philip Rivers,QB,LAC,265,2,1,0,0
Kirk Cousins,QB,MIN,245,2,0,5,0
Sam Darnold,QB,NYJ,235,2,1,10,0
Baker Mayfield,QB,CLE,245,2,1,5,0
Nick Mullens,QB,SF,235,2,1,0,0
Lamar Jackson,QB,BAL,155,1,0,70,0
Jameis Winston,QB,TB,245,1,1,25,0
Derek Carr,QB,OAK,255,1,1,5,0
Josh Johnson,QB,WAS,170,1,1,45,0
Case Keenum,QB,DEN,235,1,1,10,0
Cody Kessler,QB,JAX,190,1,1,30,0
Marcus Mariota,QB,TEN,200,1,1,25,0
Ryan Tannehill,QB,MIA,225,1,1,10,0
Eli Manning,QB,NYG,230,1,1,0,0
Matthew Stafford,QB,DET,210,1,0,5,0
Jeff Driskel,QB,CIN,175,1,1,20,0
Josh Rosen,QB,ARI,190,1,1,10,0
Taysom Hill,QB,NO,0,0,0,10,0
