Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Josh Allen,BUF,1.0,191.44,0.89,0.88,54.57,0.39,0.15,0.09,QB
Kyle Allen,CAR,1.0,21.23,0.1,0.14,0.13,0.02,0.01,0.04,QB
Matt Barkley,BUF,1.0,11.53,0.03,0.08,0.0,0.0,0.0,0.03,QB
C.J. Beathard,SF,1.0,12.6,0.04,0.11,0.0,0.01,0.0,0.03,QB
Blake Bortles,JAX,1.0,26.79,0.08,0.21,0.2,0.01,0.01,0.03,QB
Tom Brady,NE,1.0,270.72,1.98,0.72,3.08,0.08,0.03,0.06,QB
Drew Brees,NO,1.0,262.65,1.97,0.58,4.96,0.11,0.03,0.03,QB
Teddy Bridgewater,NO,1.0,18.76,0.06,0.06,0.05,0.02,0.01,0.03,QB
Jacoby Brissett,IND,1.0,9.51,0.04,0.05,0.05,0.02,0.01,0.03,QB
Derek Carr,OAK,1.0,236.85,1.57,0.73,4.01,0.05,0.05,0.09,QB
Matt Cassel,DET,1.0,15.68,0.04,0.12,0.01,0.01,0.0,0.05,QB
Kirk Cousins,MIN,1.0,250.82,1.72,0.78,11.31,0.1,0.08,0.09,QB
Chase Daniel,CHI,1.0,26.81,0.12,0.07,0.0,0.01,0.01,0.02,QB
Sam Darnold,NYJ,1.0,208.96,1.2,0.89,19.46,0.19,0.11,0.06,QB
Joshua Dobbs,PIT,1.0,9.11,0.02,0.05,0.02,0.01,0.01,0.03,QB
Jeff Driskel,CIN,1.0,188.39,1.04,0.82,17.28,0.15,0.07,0.11,QB
Joe Flacco,BAL,1.0,22.68,0.08,0.08,0.03,0.01,0.01,0.04,QB
Nick Foles,PHI,1.0,252.44,1.6,1.04,4.8,0.08,0.06,0.03,QB
Blaine Gabbert,TEN,1.0,15.54,0.04,0.13,0.08,0.01,0.01,0.03,QB
Mike Glennon,ARI,1.0,19.7,0.09,0.13,0.0,0.01,0.01,0.06,QB
Jared Goff,LA,1.0,245.12,1.62,0.83,8.8,0.1,0.06,0.09,QB
Taylor Heinicke,CAR,1.0,207.72,1.22,0.88,2.5,0.05,0.03,0.09,QB
Chad Henne,KC,1.0,27.42,0.07,0.1,0.01,0.01,0.01,0.02,QB
Taysom Hill,NO,1.0,21.05,0.06,0.09,34.53,0.08,0.05,0.02,QB
Kevin Hogan,DEN,1.0,12.41,0.02,0.13,0.12,0.01,0.01,0.03,QB
Brian Hoyer,NE,1.0,8.92,0.03,0.05,0.0,0.02,0.01,0.01,QB
Brett Hundley,SEA,1.0,10.7,0.07,0.09,0.07,0.02,0.01,0.03,QB
Lamar Jackson,BAL,1.0,168.28,0.93,0.76,68.54,0.41,0.16,0.07,QB
Josh Johnson,WAS,1.0,183.55,0.96,0.99,35.35,0.18,0.18,0.07,QB
Case Keenum,DEN,1.0,215.6,1.23,0.67,6.51,0.09,0.03,0.03,QB
Cody Kessler,JAX,1.0,178.51,0.95,0.55,20.73,0.15,0.09,0.09,QB
DeShone Kizer,GB,1.0,10.87,0.03,0.07,0.02,0.01,0.01,0.03,QB
Andrew Luck,IND,1.0,275.62,1.91,0.85,16.56,0.14,0.13,0.13,QB
Patrick Mahomes,KC,1.0,287.89,1.85,0.75,15.72,0.12,0.06,0.05,QB
Eli Manning,NYG,1.0,232.14,1.23,0.75,0.0,0.03,0.02,0.06,QB
Sean Mannion,LA,1.0,29.98,0.11,0.12,0.37,0.02,0.01,0.03,QB
Marcus Mariota,TEN,1.0,188.22,1.09,0.58,24.89,0.19,0.08,0.03,QB
Baker Mayfield,CLE,1.0,239.33,1.61,0.92,16.94,0.12,0.09,0.15,QB
AJ McCarron,OAK,1.0,9.81,0.03,0.04,0.03,0.01,0.0,0.03,QB
Josh McCown,NYJ,1.0,9.46,0.04,0.04,0.0,0.01,0.0,0.02,QB
Nick Mullens,SF,1.0,254.99,1.6,1.04,7.87,0.09,0.06,0.07,QB
Brock Osweiler,MIA,1.0,10.63,0.09,0.09,0.0,0.01,0.0,0.06,QB
Dak Prescott,DAL,1.0,241.59,1.55,0.69,20.07,0.24,0.04,0.07,QB
Philip Rivers,LAC,1.0,253.7,1.76,0.81,2.1,0.05,0.02,0.16,QB
Aaron Rodgers,GB,1.0,252.55,1.71,0.53,12.57,0.1,0.04,0.09,QB
