Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,21.7,338.0,0.14321491,3.0656397342681885,0.7,0.5209376215934753,0.0,0.0
Atlanta Falcons,ATL,26.49766731262207,395.8719482421875,0.14321491,2.142423152923584,0.668899655342102,0.5178933143615723,0.0,0.0
Baltimore Ravens,BAL,28.0,346.00909423828125,0.14321491,2.0516483783721924,0.668899655342102,0.42661094665527344,0.0,0.0
Buffalo Bills,BUF,16.5,285.941650390625,0.14321491,2.9233155250549316,1.0636740922927856,0.6,0.0,0.0
Carolina Panthers,CAR,21.5,370.0,0.14321491,3.0656397342681885,0.8,0.5209376215934753,0.0,0.09
Chicago Bears,CHI,27.161266326904297,403.0,0.22347185,2.6,0.8822113275527954,0.5209376215934753,0.0,0.07
Cincinnati Bengals,CIN,26.56,435.5,0.14321491,1.8,0.668899655342102,0.42661094665527344,0.0,0.0
Cleveland Browns,CLE,24.0,378.0,0.14321491,2.6,0.8782451152801514,0.6,0.0,0.0
Dallas Cowboys,DAL,21.0,359.0,0.14321491,2.9,0.7804070711135864,0.6,0.0,0.0
Denver Broncos,DEN,23.5,340.9183349609375,0.14321491,2.9233155250549316,1.0636740922927856,0.5178933143615723,0.0,0.1
Detroit Lions,DET,20.48,302.0,0.14321491,2.8,1.0636740922927856,0.5178933143615723,0.0,0.08
Green Bay Packers,GB,24.6,381.4230041503906,0.14321491,3.0656397342681885,0.8822113275527954,0.5178933143615723,0.0,0.0
Houston Texans,HOU,21.57,379.0,0.14321491,2.1990480422973633,1.031850814819336,0.5209376215934753,0.03,0.0
Indianapolis Colts,IND,28.85236167907715,390.31768798828125,0.14321491,2.9,0.7475047707557678,0.5209376215934753,0.0,0.0
Jacksonville Jaguars,JAX,21.3,309.0,0.14321491,3.0656397342681885,0.859012246131897,0.5178933143615723,0.0,0.0
Kansas City Chiefs,KC,21.5,370.0,0.14321491,2.896228551864624,1.0636740922927856,0.5209376215934753,0.0,0.0
Los Angeles Chargers,LAC,16.0,309.4935607910156,0.14321491,3.0528576374053955,1.0636740922927856,0.42661094665527344,0.0,0.0
Los Angeles Rams,LAR,24.84,380.0,0.14321491,2.7,0.9850689172744751,0.5209376215934753,0.03,0.0
Miami Dolphins,MIA,31.5,420.0564880371094,0.14321491,1.8628535270690918,0.7,0.6,0.0,0.0
Minnesota Vikings,MIN,23.265697479248047,355.59613037109375,0.14321491,2.729445219039917,0.7804070711135864,0.42661094665527344,0.0,0.0
New England Patriots,NE,20.4,355.0,0.14321491,2.753904342651367,1.031850814819336,0.42661094665527344,0.0,0.09
New Orleans Saints,NO,20.049972534179688,407.0,0.14321491,3.0334739685058594,1.0636740922927856,0.5209376215934753,0.0,0.0
New York Giants,NYG,21.12511444091797,317.7372741699219,0.14321491,2.6,0.9618697166442871,0.42661094665527344,0.0,0.08
New York Jets,NYJ,21.908329010009766,340.8789367675781,0.14321491,2.7860701084136963,1.0636740922927856,0.69,0.0,0.0
Oakland Raiders,OAK,30.5,437.0,0.14321491,1.8628535270690918,0.8503623008728027,0.5178933143615723,0.0,0.0
Philadelphia Eagles,PHI,24.5,393.0,0.14321491,2.729445219039917,0.668899655342102,0.5178933143615723,0.0,0.08
Pittsburgh Steelers,PIT,16.408340454101562,345.9550476074219,0.14321491,3.0334739685058594,0.7804070711135864,0.5178933143615723,0.0,0.1
San Francisco 49ers,SF,22.0,377.6455078125,0.14321491,2.3556771278381348,0.7,0.42661094665527344,0.0,0.0
Seattle Seahawks,SEA,21.386137008666992,349.239501953125,0.14321491,2.506863832473755,0.8,0.6,0.0,0.06
Tampa Bay Buccaneers,TB,33.3,421.0,0.14321491,1.8628535270690918,0.668899655342102,0.5178933143615723,0.0,0.09
Tennessee Titans,TEN,16.0,328.6478271484375,0.14321491,3.0528576374053955,0.668899655342102,0.5178933143615723,0.0,0.06
Washington Redskins,WAS,20.80923080444336,360.3,0.14321491,2.9,0.8503881692886353,0.5209376215934753,0.0,0.0
