Player,Team,GP,Rush Att,Receptions,Rec Yds,Rec TD,Return Yds,Tack,Ast,Frc Fum,Fum Rec,POS
Jerell Adams,HOU,1.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dwayne Allen,NE,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Stephen Anderson,NE,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Blake Bell,JAX,1.0,0.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,0.0,5.0,73.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Daniel Brown,CHI,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,TE
Garrett Celek,SF,1.0,0.0,2.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Charles Clay,BUF,1.0,0.0,7.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,0.0,6.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Alan Cross,TB,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,0.0,4.0,23.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
A.J. Derby,MIA,1.0,0.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Seth DeValve,CLE,1.0,0.0,1.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,1.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,0.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Eifert,CIN,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Darren Fells,CLE,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,1.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
MarQueis Gray,MIA,1.0,0.0,3.0,28.0,0.0,11.0,0.0,0.0,0.0,1.0,TE
Virgil Green,LAC,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,0.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,0.0,8.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Temarrick Hemingway,DEN,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Hunter Henry,LAC,1.0,0.0,3.0,37.0,1.0,10.0,0.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,1.0,0.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,0.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ben Koyack,JAX,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Sean McGrath,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Greg Olsen,CAR,1.0,0.0,6.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Josh Perkins,PHI,1.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
John Phillips,ARI,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,0.0,8.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Dion Sims,CHI,1.0,0.0,4.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,TE
Neal Sterling,NYJ,1.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Stocker,TEN,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Phillip Supernaw,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Erik Swoope,IND,1.0,0.0,3.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Will Tye,PHI,1.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Clive Walford,NYJ,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,0.0,6.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,0.0,3.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0,TE
