Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Drew Brees,QB,NO,310,3,1,0,0
Deshaun Watson,QB,HOU,285,2,1,35,0
Cam Newton,QB,CAR,245,2,1,45,0
Blake Bortles,QB,JAX,265,2,2,30,0
Patrick Mahomes,QB,KC,285,2,1,20,0
Ben Roethlisberger,QB,PIT,310,2,0,5,0
Ryan Fitzpatrick,QB,TB,285,2,1,15,0
Tom Brady,QB,NE,295,2,0,5,0
Jimmy Garoppolo,QB,SF,295,2,1,0,0
Andrew Luck,QB,IND,275,2,1,10,0
Aaron Rodgers,QB,GB,275,2,0,10,0
Alex Smith,QB,WAS,265,2,0,15,0
Matthew Stafford,QB,DET,285,2,1,5,0
Russell Wilson,QB,SEA,230,2,0,30,0
Kirk Cousins,QB,MIN,265,2,1,10,0
Ryan Tannehill,QB,MIA,245,2,1,20,0
Matt Ryan,QB,ATL,265,2,1,5,0
Carson Wentz,QB,PHI,255,2,1,10,0
Andy Dalton,QB,CIN,260,2,1,5,0
Jared Goff,QB,LAR,260,2,0,5,0
Case Keenum,QB,DEN,260,2,0,5,0
Philip Rivers,QB,LAC,270,2,0,0,0
Mitchell Trubisky,QB,CHI,215,2,1,25,0
Joe Flacco,QB,BAL,240,2,1,5,0
Tyrod Taylor,QB,CLE,225,1,0,35,0
Derek Carr,QB,OAK,270,1,1,5,0
Eli Manning,QB,NYG,260,1,1,5,0
Dak Prescott,QB,DAL,200,1,0,30,0
Josh Allen,QB,BUF,200,1,1,25,0
Sam Darnold,QB,NYJ,235,1,1,5,0
Blaine Gabbert,QB,TEN,190,1,1,10,0
Marcus Mariota,QB,TEN,10,0,0,0,0
