Player,Team,Salary
Drew Brees,NOR,6400
Matt Ryan,ATL,5700
Ryan Fitzpatrick,TAM,6000
Cam Newton,CAR,6000
Jared Goff,LAR,5900
Deshaun Watson,HOU,6100
Patrick Mahomes II,KAN,7000
Ben Roethlisberger,PIT,6300
Josh Allen,BUF,4500
Ryan Tannehill,MIA,5300
Jimmy Garoppolo,SFO,6500
Andy Dalton,CIN,5700
Aaron Rodgers,GNB,7100
Eli Manning,NYG,5200
Derek Carr,OAK,5400
Matthew Stafford,DET,5900
Alex Smith,WAS,5800
Philip Rivers,LAC,5800
Russell Wilson,SEA,6000
Joe Flacco,BAL,5400
Andrew Luck,IND,5600
Carson Wentz,PHI,6200
Kirk Cousins,MIN,6800
Sam Bradford,ARI,4500
Dak Prescott,DAL,5100
Baker Mayfield,CLE,4600
Marcus Mariota,TEN,4900
Blake Bortles,JAC,5600
Tom Brady,NWE,6900
Mitchell Trubisky,CHI,5500
Case Keenum,DEN,5200
Sam Darnold,NYJ,5100
Taysom Hill,NOR,4000
Tyrod Taylor,CLE,5700
Josh Rosen,ARI,4500
Blaine Gabbert,TEN,4400
Joe Webb,HOU,4000
Jacoby Brissett,IND,4400
Lamar Jackson,BAL,4500
C.J. Beathard,SFO,4200
