Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Josh Allen,BUF,1.0,200.9,0.87,0.97,27.58,0.18,0.12,0.08,QB
C.J. Beathard,SF,1.0,17.99,0.05,0.06,0.01,0.01,0.01,0.03,QB
Blake Bortles,JAX,1.0,252.41,1.63,0.95,24.02,0.16,0.05,0.16,QB
Sam Bradford,FA,1.0,241.12,1.44,0.78,4.6,0.06,0.07,0.0,QB
Tom Brady,NE,1.0,306.29,2.03,0.54,4.61,0.07,0.03,0.16,QB
Drew Brees,NO,1.0,309.83,1.89,0.72,1.83,0.06,0.02,0.06,QB
Teddy Bridgewater,NO,1.0,12.36,0.04,0.04,0.08,0.0,0.0,0.03,QB
Jacoby Brissett,IND,1.0,9.46,0.03,0.05,0.55,0.0,0.01,0.03,QB
Derek Carr,OAK,1.0,242.37,1.29,0.84,5.41,0.06,0.09,0.22,QB
Matt Cassel,DET,1.0,12.42,0.02,0.06,0.0,0.0,0.0,0.05,QB
Kirk Cousins,MIN,1.0,263.48,2.01,0.82,12.33,0.14,0.08,0.03,QB
Andy Dalton,CIN,1.0,256.82,1.77,0.75,6.56,0.07,0.06,0.0,QB
Chase Daniel,CHI,1.0,10.02,0.04,0.05,0.03,0.01,0.01,0.02,QB
Sam Darnold,NYJ,1.0,238.6,1.34,1.09,14.1,0.13,0.09,0.08,QB
Joshua Dobbs,PIT,1.0,19.57,0.09,0.1,0.0,0.01,0.01,0.04,QB
Jeff Driskel,CIN,1.0,21.68,0.06,0.11,0.0,0.01,0.01,0.04,QB
Ryan Fitzpatrick,TB,1.0,263.76,1.87,0.96,18.43,0.17,0.03,0.0,QB
Joe Flacco,BAL,1.0,240.08,1.53,0.81,6.92,0.08,0.04,0.13,QB
Nick Foles,PHI,1.0,17.24,0.08,0.09,0.02,0.01,0.01,0.03,QB
Blaine Gabbert,TEN,1.0,20.41,0.09,0.16,0.04,0.01,0.0,0.03,QB
Jimmy Garoppolo,SF,1.0,282.8,1.83,0.74,9.15,0.1,0.06,0.06,QB
Jared Goff,LAR,1.0,252.26,1.71,0.91,5.97,0.09,0.06,0.05,QB
Ryan Griffin,TB,1.0,20.42,0.06,0.09,0.0,0.01,0.01,0.04,QB
Taylor Heinicke,CAR,1.0,17.31,0.06,0.11,0.03,0.01,0.01,0.03,QB
Chad Henne,KC,1.0,11.88,0.04,0.04,0.75,0.01,0.01,0.02,QB
Taysom Hill,NO,1.0,0.12,0.01,0.01,0.0,0.01,0.01,0.04,QB
Brian Hoyer,NE,1.0,5.01,0.02,0.03,0.03,0.01,0.01,0.01,QB
Brett Hundley,SEA,1.0,10.07,0.04,0.06,0.06,0.02,0.01,0.03,QB
