Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Bills D/ST D/ST,@Cin,L 16-20,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,Min,L 17-20,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,Buf,W 20-16,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,NYJ,L 14-17,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,GB,L 31-35,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Lions D/ST D/ST,Car,L 24-27,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,@Dal,W 35-31,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,@Mia,L 10-16,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,SF,W 26-23,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,@Hou,W 42-34,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,Bal,L 17-30,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,Sea,L 10-16,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,Ten,W 16-10,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,@Chi,W 20-17,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,@TB,W 19-14,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Giants D/ST D/ST,LAC,L 22-27,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,@Cle,W 17-14,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,Ari,W 34-7,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,@Phi,L 7-34,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,Jax,L 9-30,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,@NYG,W 27-22,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,@Ind,L 23-26,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,@LAR,W 16-10,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,NE,L 14-19,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Panthers D/ST D/ST,@Det,W 27-24,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,@Pit,W 30-9,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,@Oak,W 30-17,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,KC,L 34-42,--,--,--,--,--,--,--,--,DST
