Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,POS
San Francisco 49ers,SF,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,59.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,447.0,0.0,0.0,0.0,1.0,0.0,DST
Chicago Bears,CHI,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,82.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,300.0,0.0,0.0,1.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,81.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,221.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,58.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,388.0,0.0,0.0,1.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,212.0,0.0,1.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,45.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,402.0,0.0,0.0,0.0,1.0,0.0,DST
Arizona Cardinals,ARI,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,419.0,0.0,0.0,0.0,1.0,0.0,DST
Los Angeles Chargers,LAC,1.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,72.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,335.0,0.0,0.0,1.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,140.0,1.0,34.0,0.0,0.0,0.0,1.0,0.0,392.0,0.0,0.0,1.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,23.0,0.0,0.0,1.0,0.0,0.0,402.0,0.0,0.0,0.0,1.0,0.0,DST
Dallas Cowboys,DAL,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,24.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,342.0,0.0,0.0,1.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,6.0,0.0,2.0,2.0,0.0,1.0,0.0,91.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,188.0,1.0,0.0,0.0,0.0,0.0,DST
Philadelphia Eagles,PHI,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,110.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,162.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,382.0,0.0,0.0,1.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,371.0,0.0,0.0,1.0,0.0,0.0,DST
New York Jets,NYJ,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,419.0,0.0,0.0,0.0,1.0,0.0,DST
Detroit Lions,DET,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,362.0,0.0,0.0,1.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,17.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,408.0,0.0,0.0,0.0,1.0,0.0,DST
Carolina Panthers,CAR,1.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,57.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,242.0,0.0,1.0,0.0,0.0,0.0,DST
New England Patriots,NE,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,409.0,0.0,0.0,0.0,1.0,0.0,DST
Oakland Raiders,OAK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,365.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LA,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,241.0,0.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,19.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,245.0,0.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,23.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,375.0,0.0,0.0,1.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,313.0,0.0,0.0,1.0,0.0,0.0,DST
Houston Texans,HOU,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,450.0,0.0,0.0,0.0,0.0,1.0,DST
