Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,Min,L 9-14,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,NE,L 3-23,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,SF,L 14-15,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,Pit,L 20-23,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,@LAC,L 10-19,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,Wsh,W 38-14,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,@Mia,L 9-35,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,@Bal,L 20-44,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,TB,W 26-20,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,Hou,W 24-13,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,@Jax,L 10-30,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,@NYJ,L 31-38,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,NYG,W 24-17,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,@Ari,W 32-16,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,Den,W 35-9,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,@Atl,W 14-9,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,@Buf,W 23-3,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,Car,W 31-21,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,@Oak,L 17-24,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,KC,W 38-31,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,@Sea,L 10-24,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,LAR,L 16-32,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,@Cin,W 23-20,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,Cle,W 19-10,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,@Chi,W 15-14,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,Phi,W 24-10,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,@GB,L 20-26,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,@Dal,L 14-38,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,@NO,L 21-31,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,Ind,W 30-10,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,Det,W 44-20,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,@Ten,L 13-24,--,--,--,--,--,--,--,--,DST
