Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Block,Return Yds,Return TD,Pts Allow,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,Yds Allow,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,450-499 Yds Allow,POS
San Francisco 49ers,SF,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,147.0,1.0,0.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,1.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,388.0,0.0,0.0,1.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,374.0,0.0,0.0,1.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,435.0,0.0,0.0,0.0,1.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,12.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,367.0,0.0,0.0,1.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,63.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,1.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,276.0,0.0,1.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,303.0,0.0,0.0,1.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,91.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,291.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,488.0,0.0,0.0,0.0,0.0,1.0,DST
Indianapolis Colts,IND,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,426.0,0.0,0.0,0.0,1.0,0.0,DST
