Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,@NE,L 7-23,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,TB,W 30-27,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,Car,W 17-3,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,@Pit,L 14-29,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,Ten,L 9-12,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,@SF,W 40-10,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,@LAC,L 0-21,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Packers D/ST D/ST,NO,L 17-26,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,@Cle,W 12-9,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,Jax,L 0-27,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,@Oak,L 30-31,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,KC,W 31-30,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,Ari,W 33-0,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,NYJ,W 31-28,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,Bal,W 24-16,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,Atl,W 23-7,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,@GB,W 26-17,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,Sea,L 7-24,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,@Mia,L 28-31,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,Wsh,W 34-24,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,@LAR,L 0-33,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,Cin,W 29-14,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,Den,W 21-0,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,Dal,L 10-40,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,@NYG,W 24-7,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,@Buf,L 27-30,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,@Phi,L 24-34,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,@Chi,L 3-17,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,@Ind,W 27-0,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,@Min,L 16-24,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
