Player,FG,FGA,FGLg,XP,XPAtt,XPB,FPTS,POS
"Stephen Gostkowski, NE",34.2,36.7,0,42.6,42.6,0,148,K
"Mason Crosby, GB",30.5,35.2,0,44.7,44.7,0,140,K
"Chris Boswell, PIT",32.6,35.3,0,39.3,39.3,0,139,K
"Justin Tucker, BAL",32.3,38.7,0,37.2,37.2,0,138,K
"Graham Gano, CAR",30.6,37,0,42.9,42.9,0,136,K
"Stephen Hauschka, BUF",30.2,33.8,0,39.8,39.8,0,135,K
"Chandler Catanzaro, CAR",29.9,33.2,0,40.3,40.3,0,132,K
"Adam Vinatieri, IND",30.1,32.6,0,37.2,37.2,0,131,K
"Brandon McManus, DEN",29.7,34.1,0,37.4,37.4,0,131,K
"Dan Bailey, MIN",27.2,30,0,38.9,38.9,0,124,K
"Cairo Santos, TB",27.1,32.5,0,40,40,0,123,K
"Blair Walsh, SEA",27.9,33.4,0,32.4,32.4,0,120,K
"Sebastian Janikowski, SEA",25.2,30.7,0,39.3,39.3,0,119,K
"Mike Nugent, OAK",25.9,31.7,0,39.8,39.8,0,119,K
"Roberto Aguayo, LAC",27.1,33.8,0,33.8,33.8,0,118,K
"Matt Bryant, ATL",26.2,31.7,0,34.4,34.4,0,115,K
"Nick Novak, LAC",26,30.4,0,33,33,0,114,K
"Jason Myers, NYJ",26.4,30.4,0,31.6,31.6,0,113,K
"Connor Barth, CHI",25.3,30,0,33.9,33.9,0,112,K
"Dustin Hopkins, WAS",25,27.9,0,34.6,34.6,0,111,K
"Matt Prater, DET",23.4,26.3,0,33.3,33.3,0,108,K
"Greg Zuerlein, LAR",23.9,33.4,0,31.3,31.3,0,107,K
"Wil Lutz, NO",22,26.5,0,39.3,39.3,0,106,K
"Nick Folk, TB",22.1,27,0,34.8,34.8,0,103,K
"Josh Lambo, JAC",22.9,28.2,0,30.6,30.6,0,102,K
"Caleb Sturgis, LAC",21.3,26.4,0,31,31,0,97,K
"Patrick Murray, TB",21.6,26,0,26.5,26.5,0,96,K
"Phil Dawson, ARI",22.2,25.6,0,26.4,26.4,0,96,K
"Andrew Franks, MIA",20.8,25.6,0,30.1,30.1,0,94,K
"Ryan Succop, TEN",18.1,20.8,0,30.2,30.2,0,86,K
