Player,Team,GP,Rush Yds,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.12,1.72,18.97,0.09,TE
Mo Alie-Cox,IND,1.0,0.03,0.47,5.5,0.05,TE
Dwayne Allen,NE,1.0,0.04,0.33,2.15,0.02,TE
Mark Andrews,BAL,1.0,0.03,1.65,18.78,0.11,TE
Dan Arnold,NO,1.0,0.04,0.7,6.69,0.06,TE
Antony Auclair,TB,1.0,0.06,0.53,4.44,0.04,TE
Blake Bell,JAX,1.0,0.02,0.32,3.21,0.03,TE
Nick Boyle,BAL,1.0,0.05,1.95,18.02,0.09,TE
Cameron Brate,TB,1.0,0.03,1.92,23.7,0.14,TE
Ben Braunecker,CHI,1.0,0.02,0.1,2.29,0.02,TE
Daniel Brown,CHI,1.0,0.02,0.19,2.96,0.02,TE
Pharaoh Brown,CLE,1.0,0.02,0.08,0.65,0.02,TE
Trey Burton,CHI,1.0,0.36,3.36,45.99,0.35,TE
Derek Carrier,OAK,1.0,0.03,0.47,4.5,0.04,TE
Garrett Celek,SF,1.0,0.02,0.66,7.15,0.05,TE
Orson Charles,CLE,1.0,0.02,0.13,1.69,0.02,TE
Charles Clay,BUF,1.0,0.12,3.27,33.83,0.16,TE
Tyler Conklin,MIN,1.0,0.03,0.16,2.23,0.03,TE
Jared Cook,OAK,1.0,0.07,4.79,56.01,0.33,TE
Jason Croom,BUF,1.0,0.03,0.93,12.15,0.08,TE
Alan Cross,TB,1.0,0.03,0.19,2.2,0.02,TE
Darrell Daniels,ARI,1.0,0.03,0.2,2.33,0.03,TE
Vernon Davis,WAS,1.0,0.1,1.52,21.68,0.13,TE
Seth DeValve,CLE,1.0,0.02,0.27,3.62,0.03,TE
Ed Dickson,SEA,1.0,0.06,1.8,22.58,0.12,TE
Jack Doyle,IND,1.0,0.05,4.53,41.81,0.29,TE
Ross Dwelley,SF,1.0,0.03,0.11,1.84,0.02,TE
Eric Ebron,IND,1.0,0.46,4.07,46.78,0.38,TE
Rhett Ellison,NYG,1.0,0.1,1.99,19.48,0.1,TE
Evan Engram,NYG,1.0,0.97,4.21,39.81,0.25,TE
Zach Ertz,PHI,1.0,0.07,6.7,77.13,0.47,TE
Gerald Everett,LA,1.0,0.08,1.46,15.07,0.13,TE
Darren Fells,CLE,1.0,0.02,0.71,5.79,0.05,TE
Jordan Franks,CIN,1.0,0.03,0.52,4.51,0.05,TE
