Player,Team,GP,Rush Att,Rush Yds,Rush TD,40+ Rush TD,50+ Rush TD,100-199 Rush Yds,200+ Rush Yds,Receptions,Rec Yds,Rec TD,Return Yds,Return TD,Fum Lost,Fum,2PT,Tack,Ast,Fum Rec,POS
Spencer Ware,KC,1.0,24.0,131.0,1.0,0.0,0.0,1.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
DeAndre Washington,OAK,1.0,10.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RB
Derek Watt,LAC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB
Charcandrick West,KC,1.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
James White,NE,1.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,8.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Fozzy Whittaker,CAR,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,RB
Damien Williams,KC,1.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jonathan Williams,IND,1.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,RB
T.J. Yeldon,JAX,1.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Zach Zenner,DET,1.0,14.0,58.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
