Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,@NO,L 13-23,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,@NE,L 16-37,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,Cle,W 20-3,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,Det,W 26-17,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,@Chi,L 3-20,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,Sea,L 12-21,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,@Wsh,L 11-27,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,@Cin,L 17-26,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,Min,L 0-16,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,LAR,L 23-27,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,@Bal,L 16-23,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,Mia,W 29-13,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,@Phi,L 10-19,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,@Ten,W 27-23,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,@KC,L 13-29,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,@GB,W 16-0,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,Buf,W 37-16,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,Atl,W 23-13,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,@Ari,L 0-23,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,LAC,L 7-14,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,Oak,W 19-10,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,NYG,W 23-0,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,@Hou,W 34-6,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,@NYJ,W 14-7,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,Jax,W 44-33,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,@Dal,W 21-12,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,@Car,L 19-22,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,Den,W 27-11,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,TB,W 22-19,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,@SF,L 33-44,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,Ind,W 23-16,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,Pit,L 6-34,--,--,--,--,--,--,--,--,DST
