Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,25.46,327.0,0.1,1.9,0.6,0.4,0.04,0.0
Atlanta Falcons,ATL,19.0,310.0,0.1,2.3,0.7,0.6,0.0,0.0
Baltimore Ravens,BAL,16.5,270.0,0.1,2.2,0.7,0.5,0.0,0.0
Buffalo Bills,BUF,22.0,384.0,0.13,1.0,0.6,0.3,0.0,0.0
Carolina Panthers,CAR,21.91,333.0,0.1,2.14,0.6,0.5,0.0,0.08
Chicago Bears,CHI,18.2,329.0,0.1,2.69,0.5,0.4,0.0,0.08
Cincinnati Bengals,CIN,21.3,299.0,0.11,1.8,0.8,0.3,0.0,0.08
Cleveland Browns,CLE,27.22,392.7506313537228,0.1,1.6,0.5229985055142334,0.4,0.0,0.0
Dallas Cowboys,DAL,18.2,331.0,0.0,1.9,0.6,0.55,0.0,0.0
Denver Broncos,DEN,17.5,280.0,0.14,1.6,0.8,0.5,0.0,0.09
Detroit Lions,DET,23.1,362.9,0.13,1.9,0.7,0.4,0.0,0.1
Green Bay Packers,GB,22.5,337.0,0.1,2.2,0.6,0.4,0.0,0.0
Houston Texans,HOU,19.0,254.0,0.1,2.47,0.9,0.5,0.0,0.0
Indianapolis Colts,IND,24.94,338.0,0.1,1.5,0.3,0.4,0.0,0.0
Jacksonville Jaguars,JAX,21.74,349.0,0.12,2.0,0.7,0.5,0.03,0.0
Kansas City Chiefs,KC,24.69,406.0,0.1,0.9,0.7,0.5,0.0,0.0
Los Angeles Chargers,LAC,15.0,279.0,0.12,2.5,1.0,0.4,0.0,0.0
Los Angeles Rams,LAR,15.5,286.0,0.13,2.25,0.6,0.5,0.0,0.0
Miami Dolphins,MIA,22.3,329.0,0.1,1.9,0.7,0.47,0.0,0.0
Minnesota Vikings,MIN,19.9,292.0,0.12,2.39,0.7,0.4,0.0,0.0
New England Patriots,NE,17.3,312.0,0.1,1.6,0.8,0.4,0.0,0.08
New Orleans Saints,NO,17.37,346.0,0.12,2.78,0.6,0.4,0.0,0.0
New York Giants,NYG,20.5,331.0,0.11,1.5,0.7,0.4,0.0,0.07
New York Jets,NYJ,18.2,319.8,0.1,1.5,0.7,0.5,0.0,0.0
Oakland Raiders,OAK,24.4,347.6,0.1,1.5,0.6,0.5,0.0,0.0
Philadelphia Eagles,PHI,16.6,332.8,0.12,1.9,1.1,0.6,0.0,0.09
Pittsburgh Steelers,PIT,19.98,354.0,0.11,2.5,0.6,0.3,0.0,0.1
San Francisco 49ers,SF,19.48,347.0,0.12,2.0,0.79,0.5,0.0,0.0
Seattle Seahawks,SEA,20.0,300.0,0.1,2.1,0.5,0.4,0.03,0.09
Tampa Bay Buccaneers,TB,21.3,373.0,0.15,1.4,0.6,0.5,0.0,0.09
Tennessee Titans,TEN,19.79,338.0,0.13,2.0,0.6,0.5,0.0,0.06
Washington Redskins,WAS,18.6,340.0,0.1,2.03,0.8,0.5,0.0,0.0
