Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Adam Vinatieri, Ind K",Ari,L 13-16,--/--,--/--,--/--,--/--,--/--,--,K
"Phil Dawson, Ari K",@Ind,W 16-13,--/--,--/--,--/--,--/--,--/--,--,K
"Sebastian Janikowski, Oak K",NYJ,W 45-20,--/--,--/--,--/--,--/--,--/--,--,K
"Shayne Graham, Atl K",GB,W 34-23,--/--,--/--,--/--,--/--,--/--,--,K
"Billy Cundiff, Cle K",@Bal,L 10-24,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Bryant, Atl K",GB,W 34-23,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Brown, NYG K",Det,L 10-24,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Scobee, NO K",NE,L 20-36,--/--,--/--,--/--,--/--,--/--,--,K
"Mike Nugent, Chi K",@TB,L 7-29,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Novak, LAC K",Mia,L 17-19,--/--,--/--,--/--,--/--,--/--,--,K
"Robbie Gould, SF K",@Sea,L 9-12,--/--,--/--,--/--,--/--,--/--,--,K
"Shaun Suisham, Pit K",Min,W 26-9,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Gostkowski, NE K",@NO,W 36-20,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Folk, TB K",Chi,W 29-7,--/--,--/--,--/--,--/--,--/--,--,K
"Mason Crosby, GB K",@Atl,L 23-34,--/--,--/--,--/--,--/--,--/--,--,K
"Matt Prater, Det K",@NYG,W 24-10,--/--,--/--,--/--,--/--,--/--,--,K
"Garrett Hartley, Pit K",Min,W 26-9,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Carpenter, Buf K",@Car,L 3-9,--/--,--/--,--/--,--/--,--/--,--,K
"Connor Barth, Chi K",@TB,L 7-29,--/--,--/--,--/--,--/--,--/--,--,K
"Stephen Hauschka, Buf K",@Car,L 3-9,--/--,--/--,--/--,--/--,--/--,--,K
"Graham Gano, Car K",Buf,W 9-3,--/--,--/--,--/--,--/--,--/--,--,K
"Ryan Succop, Ten K",@Jax,W 37-16,--/--,--/--,--/--,--/--,--/--,--,K
"Dan Bailey, Dal K",@Den,L 17-42,--/--,--/--,--/--,--/--,--/--,--,K
"Kai Forbath, Min K",@Pit,L 9-26,--/--,--/--,--/--,--/--,--/--,--,K
"Greg Zuerlein, LAR K",Wsh,L 20-27,--/--,--/--,--/--,--/--,--/--,--,K
"Blair Walsh, Sea K",SF,W 12-9,--/--,--/--,--/--,--/--,--/--,--,K
"Randy Bullock, Cin K",Hou,L 9-13,--/--,--/--,--/--,--/--,--/--,--,K
"Giorgio Tavecchio, Oak K",NYJ,W 45-20,--/--,--/--,--/--,--/--,--/--,--,K
"Justin Tucker, Bal K",Cle,W 24-10,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon Bogotay, TB K",Chi,W 29-7,--/--,--/--,--/--,--/--,--/--,--,K
"Caleb Sturgis, LAC K",Mia,L 17-19,--/--,--/--,--/--,--/--,--/--,--,K
"Dustin Hopkins, Wsh K",@LAR,W 27-20,--/--,--/--,--/--,--/--,--/--,--,K
"Zach Hocker, TB K",Chi,W 29-7,--/--,--/--,--/--,--/--,--/--,--,K
"Travis Coons, LAC K",Mia,L 17-19,--/--,--/--,--/--,--/--,--/--,--,K
"Chandler Catanzaro, TB K",Chi,W 29-7,--/--,--/--,--/--,--/--,--/--,--,K
"Brandon McManus, Den K",Dal,W 42-17,--/--,--/--,--/--,--/--,--/--,--,K
"Cairo Santos, NYJ K",@Oak,L 20-45,--/--,--/--,--/--,--/--,--/--,--,K
"Cody Parkey, Chi K",@TB,L 7-29,--/--,--/--,--/--,--/--,--/--,--,K
"Chris Boswell, Pit K",Min,W 26-9,--/--,--/--,--/--,--/--,--/--,--,K
"Kasey Redfern, Det K",@NYG,W 24-10,--/--,--/--,--/--,--/--,--/--,--,K
"Patrick Murray, TB K",Chi,W 29-7,--/--,--/--,--/--,--/--,--/--,--,K
"Jordan Gay, Ten K",@Jax,W 37-16,--/--,--/--,--/--,--/--,--/--,--,K
"Jason Myers, Sea K",SF,W 12-9,--/--,--/--,--/--,--/--,--/--,--,K
"Kyle Brindza, NYJ K",@Oak,L 20-45,--/--,--/--,--/--,--/--,--/--,--,K
"Josh Lambo, Jax K",Ten,L 16-37,--/--,--/--,--/--,--/--,--/--,--,K
"Andrew Franks, Mia K",@LAC,W 19-17,--/--,--/--,--/--,--/--,--/--,--,K
"Roberto Aguayo, LAC K",Mia,L 17-19,--/--,--/--,--/--,--/--,--/--,--,K
"Wil Lutz, NO K",NE,L 20-36,--/--,--/--,--/--,--/--,--/--,--,K
"Aldrick Rosas, NYG K",Det,L 10-24,--/--,--/--,--/--,--/--,--/--,--,K
"Jake Elliott, Phi K",@KC,L 20-27,--/--,--/--,--/--,--/--,--/--,--,K
"Zane Gonzalez, Cle K",@Bal,L 10-24,--/--,--/--,--/--,--/--,--/--,--,K
"Harrison Butker, KC K",Phi,W 27-20,--/--,--/--,--/--,--/--,--/--,--,K
"Younghoe Koo, LAC K",Mia,L 17-19,--/--,--/--,--/--,--/--,--/--,--,K
"Ka'imi Fairbairn, Hou K",@Cin,W 13-9,--/--,--/--,--/--,--/--,--/--,--,K
"Nick Rose, LAC K",Mia,L 17-19,--/--,--/--,--/--,--/--,--/--,--,K
"Sam Ficken, LAR K",Wsh,L 20-27,--/--,--/--,--/--,--/--,--/--,--,K
