Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Blake Bortles,JAX,1.0,21.0,11.0,10.0,125.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Sam Bradford,,1.0,32.0,27.0,5.0,346.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,36.0,16.0,20.0,267.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Drew Brees,NO,1.0,37.0,27.0,10.0,291.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jacoby Brissett,IND,1.0,3.0,2.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,QB
Derek Carr,OAK,1.0,32.0,22.0,10.0,262.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,40.0,23.0,17.0,240.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,30.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,QB
Andy Dalton,CIN,1.0,31.0,16.0,15.0,170.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Joe Flacco,BAL,1.0,17.0,9.0,8.0,121.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Mike Glennon,ARI,1.0,40.0,26.0,14.0,213.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
Jared Goff,LA,1.0,29.0,21.0,8.0,306.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Brian Hoyer,NE,1.0,35.0,24.0,11.0,193.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,-5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,QB
DeShone Kizer,GB,1.0,30.0,20.0,10.0,222.0,1.0,1.0,7.0,0.0,0.0,0.0,5.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Eli Manning,NYG,1.0,38.0,29.0,9.0,220.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Sean Mannion,LA,1.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Marcus Mariota,TEN,1.0,41.0,25.0,16.0,256.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Josh McCown,NYJ,1.0,39.0,26.0,13.0,187.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Cam Newton,CAR,1.0,25.0,14.0,11.0,171.0,2.0,1.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,QB
Dak Prescott,DAL,1.0,39.0,24.0,15.0,268.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Philip Rivers,LAC,1.0,33.0,22.0,11.0,192.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Aaron Rodgers,GB,1.0,42.0,28.0,14.0,311.0,1.0,1.0,4.0,1.0,0.0,0.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,QB
Ben Roethlisberger,PIT,1.0,36.0,24.0,12.0,263.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Jake Rudock,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matt Ryan,ATL,1.0,30.0,21.0,9.0,321.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Tom Savage,CIN,1.0,13.0,7.0,6.0,62.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,QB
Trevor Siemian,MIN,1.0,28.0,17.0,11.0,219.0,2.0,1.0,4.0,0.0,0.0,0.0,6.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Alex Smith,WAS,1.0,35.0,28.0,7.0,368.0,4.0,0.0,3.0,1.0,2.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Matthew Stafford,DET,1.0,41.0,29.0,12.0,292.0,4.0,1.0,1.0,0.0,1.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Tyrod Taylor,CLE,1.0,28.0,16.0,12.0,224.0,2.0,1.0,2.0,0.0,0.0,0.0,8.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Deshaun Watson,HOU,1.0,23.0,12.0,11.0,102.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,QB
Carson Wentz,PHI,1.0,39.0,26.0,13.0,307.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,-16.0,QB
Russell Wilson,SEA,1.0,27.0,14.0,13.0,158.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,40.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
