Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Return TD,Fum Lost,2PT,Tack,Ast,Sack,Frc Fum,Fum Rec,Pass Def,POS
Duke Johnson,CLE,1.0,17.1,0.12,2.71,26.12,0.12,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,RB
Aaron Jones,GB,1.0,34.91,0.27,1.15,10.14,0.05,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Ronald Jones,TB,1.0,27.45,0.21,1.37,10.37,0.05,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Taiwan Jones,BUF,1.0,0.0,0.0,0.44,4.36,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kyle Juszczyk,SF,1.0,0.0,0.01,3.58,36.97,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Dion Lewis,TEN,1.0,33.87,0.2,3.5,26.04,0.11,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Phillip Lindsay,DEN,1.0,48.77,0.37,1.8,15.97,0.09,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Marshawn Lynch,OAK,1.0,77.29,0.56,2.14,17.28,0.06,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB
Marlon Mack,IND,1.0,35.98,0.26,2.04,17.3,0.07,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tre Madden,SEA,1.0,0.0,0.0,0.4,2.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Doug Martin,OAK,1.0,17.7,0.1,0.48,3.61,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Christian McCaffrey,CAR,1.0,67.55,0.39,4.91,41.43,0.27,0.0,0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
LeSean McCoy,BUF,1.0,60.76,0.31,3.23,24.9,0.15,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB
Sony Michel,NE,1.0,72.8,0.67,1.44,11.61,0.05,0.2,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Lamar Miller,HOU,1.0,55.19,0.31,1.86,16.53,0.08,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Joe Mixon,CIN,1.0,86.39,0.54,3.08,26.48,0.14,0.0,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Ty Montgomery,BAL,1.0,17.13,0.11,2.16,19.99,0.12,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alfred Morris,SF,1.0,71.25,0.49,1.67,14.16,0.06,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Raheem Mostert,SF,1.0,11.08,0.08,0.91,8.28,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Latavius Murray,MIN,1.0,27.22,0.2,1.08,9.04,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Roosevelt Nix,PIT,1.0,0.18,0.01,0.21,0.82,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jamize Olawale,DAL,1.0,1.76,0.01,0.45,3.25,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Ricky Ortiz,ATL,1.0,1.6,0.01,0.43,2.21,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Elijhaa Penny,NYG,1.0,9.79,0.07,0.25,1.74,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Rashaad Penny,SEA,1.0,11.24,0.07,0.33,2.33,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Senorise Perry,MIA,1.0,2.35,0.02,0.34,4.31,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Adrian Peterson,WAS,1.0,49.02,0.31,1.54,14.52,0.03,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Bilal Powell,NYJ,1.0,56.46,0.33,2.09,18.31,0.11,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jalen Richard,OAK,1.0,6.21,0.04,3.35,31.26,0.18,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Stevan Ridley,PIT,1.0,15.39,0.08,0.31,2.3,0.01,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jacquizz Rodgers,TB,1.0,6.74,0.05,0.86,6.26,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jaylen Samuels,PIT,1.0,4.17,0.03,0.31,1.98,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Anthony Sherman,KC,1.0,1.07,0.0,0.43,2.86,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Wendell Smallwood,PHI,1.0,45.83,0.28,3.02,24.85,0.07,0.19,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Ito Smith,ATL,1.0,29.9,0.28,1.91,16.69,0.1,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Keith Smith,OAK,1.0,1.59,0.01,0.64,3.69,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Rod Smith,DAL,1.0,9.8,0.08,0.69,7.28,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Roc Thomas,MIN,1.0,11.92,0.09,0.67,5.86,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Robert Turbin,,1.0,0.5,0.01,0.75,5.38,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Mark Walton,CIN,1.0,13.28,0.09,1.76,16.19,0.1,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Spencer Ware,KC,1.0,9.76,0.06,1.11,9.04,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Derek Watt,LAC,1.0,0.0,0.0,0.15,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
James White,NE,1.0,24.22,0.25,5.53,48.91,0.2,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jordan Wilkins,IND,1.0,26.38,0.13,1.04,8.02,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Damien Williams,KC,1.0,5.37,0.02,0.63,5.34,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
David Williams,JAX,1.0,7.27,0.04,0.47,4.31,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jamaal Williams,GB,1.0,46.64,0.25,1.75,17.12,0.08,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB
Brandon Wilson,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.03,0.01,0.02,0.02,0.01,RB
T.J. Yeldon,JAX,1.0,58.33,0.37,4.57,40.27,0.24,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
