Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Patrick Mahomes,QB,KC,315,3,0,10,0
Jared Goff,QB,LAR,310,3,1,5,0
Andrew Luck,QB,IND,260,3,1,5,0
Cam Newton,QB,CAR,280,2,0,30,0
Jameis Winston,QB,TB,310,2,1,15,0
Deshaun Watson,QB,HOU,255,2,1,40,0
Ben Roethlisberger,QB,PIT,310,2,1,5,0
Russell Wilson,QB,SEA,265,2,1,20,0
Drew Brees,QB,NO,300,2,0,0,0
Kirk Cousins,QB,MIN,275,2,0,10,0
Dak Prescott,QB,DAL,250,2,0,20,0
Philip Rivers,QB,LAC,290,2,1,0,0
Aaron Rodgers,QB,GB,265,2,0,10,0
Matt Ryan,QB,ATL,270,2,1,5,0
Matthew Stafford,QB,DET,260,2,1,10,0
Carson Wentz,QB,PHI,260,2,1,10,0
Tom Brady,QB,NE,265,2,0,0,0
Baker Mayfield,QB,CLE,245,2,1,10,0
Case Keenum,QB,DEN,245,2,1,5,0
Chase Daniel,QB,CHI,220,2,1,10,0
Eli Manning,QB,NYG,235,2,1,0,0
Lamar Jackson,QB,BAL,170,1,1,60,0
Marcus Mariota,QB,TEN,230,1,1,25,0
Colt McCoy,QB,WAS,240,1,1,20,0
Jeff Driskel,QB,CIN,245,1,1,15,0
Ryan Tannehill,QB,MIA,235,1,1,15,0
Josh McCown,QB,NYJ,215,1,1,15,0
Josh Allen,QB,BUF,170,1,1,35,0
Cody Kessler,QB,JAX,210,1,1,15,0
Nick Mullens,QB,SF,230,1,1,0,0
Derek Carr,QB,OAK,215,1,1,5,0
Josh Rosen,QB,ARI,190,1,1,5,0
Taysom Hill,QB,NO,0,0,0,10,0
